日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,中证500主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2016-03-02,1962.2373331605,86.5339786827,316.9205516556,1110.5342988802,,2094.5460074021,,36867.6847215038,9881.2110818113,4640.2232830257,
2016-03-03,1961.9764840634,86.3812228824,319.6037350832,1119.6725196159,,2100.5434905114,,36927.5672630114,9916.1116066036,4660.6109072920,
2016-03-04,1990.5394601991,86.4903341683,323.9334174321,1132.7936819551,,2043.6423695115,,37875.7075035482,9977.1875249901,4709.5412055313,
2016-03-07,2011.0161143238,86.1499069561,323.9943988737,1145.4288753188,,2097.2448748013,,38015.4334337325,9994.6377873862,4850.2158129693,
2016-03-08,2005.5382832841,86.2590182421,325.2750091459,1128.9059301509,,2121.9844926274,,37676.0990318562,10064.4388369707,4795.1692274501,
2016-03-09,1967.1934660060,86.5339786827,322.0429927446,1125.9901162977,,2061.6348188395,,37246.9408177185,9920.4741722026,4758.4715037706,
2016-03-10,1945.2821418470,86.7827524148,319.4207907586,1119.1865506403,,2022.6511786287,,37226.9799705493,9872.4859506133,4697.3086309715,
2016-03-11,1947.6297837212,87.1057218213,324.1163617567,1121.6163955180,,2029.0984729713,,37636.1773375178,9924.8367378017,4717.6962552379,
2016-03-14,1983.7573836737,86.9835171810,320.1525680570,1122.1023644935,,2110.2144320253,,37676.0990318562,9889.9362130094,4680.9985315584,
2016-03-15,1986.7571482907,87.0358905982,314.4812939943,1120.6444575669,,2102.1178298276,,37177.0778526263,9859.3982538162,4654.4946200121,
2016-03-16,1996.7998385302,87.2759354274,316.4327001234,1115.2987988361,,2086.1495310490,,37496.4514073335,9837.5854258210,4672.8434818518,
2016-03-17,2036.5793258425,87.0227972439,321.1282711215,1123.0743024446,,2159.0939193665,,37865.7270799636,9894.2987786084,4731.9675922243,
2016-03-18,2071.6635294065,87.0097038896,321.1892525631,1132.7936819551,,2228.2898807406,,38304.8657176859,9994.6377873862,4801.2855147300,
2016-03-21,2128.1453638723,86.8613125407,316.7376073310,1131.3357750285,,2278.3145966646,,38085.2963988247,10020.8131809804,4754.3939789173,
2016-03-22,2117.8036195335,86.9616949238,318.8109763432,1144.4569373678,,2275.1640385188,,38075.3159752401,10046.9885745746,4782.9366528902,
2016-03-23,2118.7317247946,86.9791527295,315.0911084096,1145.4288753188,,2285.7683561801,,38085.2963988247,10033.9008777775,4754.3939789173,
2016-03-24,2084.7895895288,87.1624596900,311.1273147099,1147.8587201965,,2245.1184718118,,37556.3339488410,10055.7137057727,4609.6418466261,
2016-03-25,2096.7223714582,87.1275440785,312.3469435405,1165.8395722910,,2270.8608371490,,37676.0990318562,10208.4035017389,4687.1148188383,
2016-03-28,2074.8456045877,86.9529660209,311.0663332683,1150.7745340496,,2250.3437877609,,37436.5688658259,10243.3040265311,4746.2389292108,
