date,货币信用周期策略0.2（股指信号）
2019-11-04,1.2309755996991545
2019-11-05,1.2358691435619495
2019-11-06,1.230989745020967
2019-11-07,1.2336289013731883
2019-11-08,1.2303543825352852
2019-11-11,1.2202007075551744
2019-11-12,1.2182009781052265
2019-11-13,1.2187009704244551
2019-11-14,1.2186115816623355
2019-11-15,1.2163706225547621
2019-11-18,1.223384958179171
2019-11-19,1.2299290499207571
2019-11-20,1.2264715138370075
2019-11-21,1.2270042047500063
2019-11-22,1.2207773659401417
2019-11-25,1.2238968696308374
2019-11-26,1.2232914179626797
2019-11-27,1.2245216107694787
2019-11-28,1.224249644675169
2019-11-29,1.2237288236147088
2019-12-02,1.2238744759767983
2019-12-03,1.2260786293637793
2019-12-04,1.2263761876501382
2019-12-05,1.2303231030881998
2019-12-06,1.232368555863459
2019-12-09,1.237071922467241
2019-12-10,1.2398550340963195
2019-12-11,1.241287105030229
2019-12-12,1.2401435865555788
2019-12-13,1.2460374286648723
2019-12-16,1.2510175058503044
2019-12-17,1.258106680124739
2019-12-18,1.2576499962315426
2019-12-19,1.2584835619462789
2019-12-20,1.2576255892575097
2019-12-23,1.2503751268683296
2019-12-24,1.256874839933664
2019-12-25,1.2583914933104656
2019-12-26,1.2608839429475018
2019-12-27,1.2598280126382575
2019-12-30,1.2678634121146994
2019-12-31,1.2693709202584424
2020-01-02,1.2759154674445166
2020-01-03,1.274913340322805
2020-01-06,1.277632798048249
2020-01-07,1.281136371896257
2020-01-08,1.2771808249797896
2020-01-09,1.2795124629059107
2020-01-10,1.279575532166509
2020-01-13,1.2839778262559947
2020-01-14,1.282396711420632
2020-01-15,1.2815005343902435
2020-01-16,1.283586766980871
2020-01-17,1.28277488751824
2020-01-20,1.2878392716430167
2020-01-21,1.2790863058775286
2020-01-22,1.2813669493290327
2020-01-23,1.2630644290359256
2020-02-03,1.2508681957470693
2020-02-04,1.2546401324672842
2020-02-05,1.255857244232685
2020-02-06,1.2587089177497204
2020-02-07,1.2602097281775428
2020-02-10,1.2609959120370244
2020-02-11,1.2600131215569976
2020-02-12,1.2593353614725575
2020-02-13,1.262213526020902
2020-02-14,1.2594557357238705
2020-02-17,1.2620393741012597
2020-02-18,1.2637062011421285
2020-02-19,1.264988559611143
2020-02-20,1.264591343735134
2020-02-21,1.2666016244239506
2020-02-24,1.2675923995148872
2020-02-25,1.2651313643975215
2020-02-26,1.2649000585600088
2020-02-27,1.2659049049015878
2020-02-28,1.2585527575269992
2020-03-02,1.2613235632671274
2020-03-03,1.260792940719172
2020-03-04,1.2666002808008003
2020-03-05,1.2670551078106636
2020-03-06,1.2700227361270882
2020-03-09,1.2667868707989978
2020-03-10,1.2623264668598242
2020-03-11,1.2639400740199023
2020-03-12,1.2582287324044268
2020-03-13,1.252970818145217
2020-03-16,1.2470686208735196
2020-03-17,1.2379352258483538
2020-03-18,1.2361357461280928
2020-03-19,1.2240570685198346
2020-03-20,1.2336218047085605
2020-03-23,1.2334067714153922
2020-03-24,1.243560541711682
2020-03-25,1.253177941379739
2020-03-26,1.2505587137865175
2020-03-27,1.252933432158734
2020-03-30,1.2510111316688506
2020-03-31,1.254228795007443
2020-04-01,1.2481014914311828
2020-04-02,1.2478777890435493
2020-04-03,1.244137455235298
2020-04-07,1.256241637649008
2020-04-08,1.2588587137255092
2020-04-09,1.2575326829234401
2020-04-10,1.259371514394111
2020-04-13,1.2578694675828506
2020-04-14,1.2600312762109835
2020-04-15,1.261958012642943
2020-04-16,1.2619353158832565
2020-04-17,1.2617748949218548
2020-04-20,1.2579015378093519
2020-04-21,1.2558144484371097
2020-04-22,1.2593527822592367
2020-04-23,1.2685497221847648
2020-04-24,1.269853574453168
2020-04-27,1.2712102899301863
2020-04-28,1.2688303269979113
2020-04-29,1.2725625550434652
2020-04-30,1.2714811964836386
2020-05-06,1.2711347021338486
2020-05-07,1.2658888311308878
2020-05-08,1.2690740803171585
2020-05-11,1.265634088318961
2020-05-12,1.264992808660555
2020-05-13,1.2638697537261736
2020-05-14,1.2623607384873867
2020-05-15,1.266179315646566
2020-05-18,1.2700406886485187
2020-05-19,1.2697355855738461
2020-05-20,1.2736938979737185
2020-05-21,1.2724642915741837
2020-05-22,1.2747482857784513
2020-05-25,1.2740965432287663
2020-05-26,1.273212317456635
2020-05-27,1.2747101046857319
2020-05-28,1.2778539666100792
2020-05-29,1.277857773808915
2020-06-01,1.2924475256321992
2020-06-02,1.2901008294394696
2020-06-03,1.2906467410090443
2020-06-04,1.2904059665034855
2020-06-05,1.2925456882506998
2020-06-08,1.294435102183802
2020-06-09,1.298567760248468
2020-06-10,1.3018388352411325
2020-06-11,1.2992584528015179
2020-06-12,1.3039589253342614
2020-06-15,1.297839065943801
2020-06-16,1.3082985444930275
2020-06-17,1.3081517054258696
2020-06-18,1.3117283407248361
2020-06-19,1.3179889507938805
2020-06-22,1.318532456781463
2020-06-23,1.3198370008900364
2020-06-24,1.324275841801174
2020-06-29,1.3229482743861816
2020-06-30,1.3314294307475143
2020-07-01,1.3455829728249877
2020-07-02,1.3569366385507133
2020-07-03,1.3646078489592353
2020-07-06,1.3936848620387643
2020-07-07,1.3953564223647141
2020-07-08,1.4014898140293717
2020-07-09,1.415858601966554
2020-07-10,1.4090036877544636
2020-07-13,1.42758873346378
2020-07-14,1.4188389927790128
2020-07-15,1.411958315080479
2020-07-16,1.3832598369744316
2020-07-17,1.386374086749809
2020-07-20,1.4037290049567352
2020-07-21,1.407690282410614
2020-07-22,1.417844231715655
2020-07-23,1.418481703754335
2020-07-24,1.3959274326786106
2020-07-27,1.4004474334841086
2020-07-28,1.3997664249779638
2020-07-29,1.418619717030393
2020-07-30,1.4154411792812358
2020-07-31,1.4201574201306235
2020-08-03,1.430704350532091
2020-08-04,1.4317055854187375
2020-08-05,1.4338280366071172
2020-08-06,1.4327635742277534
2020-08-07,1.429243180282837
2020-08-10,1.4293972561735264
2020-08-11,1.4169224342858795
2020-08-12,1.4047184263460961
2020-08-13,1.408617793764605
2020-08-14,1.4220054429682345
2020-08-17,1.4354707576733374
2020-08-18,1.440099362462377
2020-08-19,1.4323846069754955
2020-08-20,1.4227389550032865
2020-08-21,1.4255060549153276
2020-08-24,1.42592758911363
2020-08-25,1.4246235691378435
2020-08-26,1.4188121089453962
2020-08-27,1.4240116941059733
2020-08-28,1.438451400505998
2020-08-31,1.4366013256662613
2020-09-01,1.4404308167059772
2020-09-02,1.4336233583557285
2020-09-03,1.428596966626292
2020-09-04,1.4267442716404426
2020-09-07,1.419004689022214
2020-09-08,1.4259091031177118
2020-09-09,1.4123877464671177
2020-09-10,1.410159827763991
2020-09-11,1.414387855311655
2020-09-14,1.4229417289871167
2020-09-15,1.4281612486925273
2020-09-16,1.4223035873848613
2020-09-17,1.4208065152530585
2020-09-18,1.4365141626806828
2020-09-21,1.432003256988421
2020-09-22,1.4205219058983427
2020-09-23,1.417020491626297
2020-09-24,1.4022240507735841
2020-09-25,1.4042986072026655
2020-09-28,1.4069840294702127
2020-09-29,1.4086441098011961
2020-09-30,1.4042518842831626
2020-10-09,1.426582905368065
2020-10-12,1.4473425451880502
2020-10-13,1.4450774771616341
2020-10-14,1.4422561866134418
2020-10-15,1.4388865516082014
2020-10-16,1.440812456960052
2020-10-19,1.4371468607997224
2020-10-20,1.4424576502866722
2020-10-21,1.4420189878841632
2020-10-22,1.4409215340345718
2020-10-23,1.432034312309929
2020-10-26,1.4306627586844933
2020-10-27,1.4318475082186455
2020-10-28,1.4343997254696952
2020-10-29,1.434089281782729
2020-10-30,1.4207515602442693
2020-11-02,1.4286534093235754
2020-11-03,1.4384298052257716
2020-11-04,1.4424874461072368
2020-11-05,1.4529005184960835
2020-11-06,1.4496628922060204
2020-11-09,1.458444222993977
2020-11-10,1.455726951262085
2020-11-11,1.4601677246123415
2020-11-12,1.459800076387302
2020-11-13,1.4554711924841393
2020-11-16,1.4649833585829857
2020-11-17,1.4623058759283192
2020-11-18,1.4647281185612713
2020-11-19,1.467790656647203
2020-11-20,1.4759401684155864
2020-11-23,1.4857717455062074
2020-11-24,1.4838281673976617
2020-11-25,1.4784851143564264
2020-11-26,1.4784053806611366
2020-11-27,1.4852633475355053
2020-11-30,1.487490908544454
2020-12-01,1.4940200742949528
2020-12-02,1.4933948669470318
2020-12-03,1.4884657553484244
2020-12-04,1.4974093883254842
2020-12-07,1.489094711918931
2020-12-08,1.487849159393721
