10年国债主连,30年国债主连,PTA主连,date,中证1000主连,原油主连,方案名称,沪深300主连,沪金主连,沪铜主连,沪铝主连,策略名称,红利低波ETF,股指期货仓位,股指期货信号,股指期货目标仓位,豆粕主连
0.47642397420061006,0.0,0.02800725368732857,2023-04-21,0.125,0.015945594691903278,固定仓位_25%,0.125,0.07132614010152612,0.037305027293259685,0.03988094374299653,风险平价策略,0.05304063632403928,0.25,1.0,0.25,0.028070429958336418
0.2889095259957177,0.27295314599292153,0.019078059512455944,2023-04-28,0.125,0.009697084825898757,固定仓位_25%,0.125,0.048202349801625716,0.024544134338194648,0.026166915322373585,风险平价策略,0.0402372899380382,0.25,1.0,0.25,0.02021149427277382
0.3887713110753168,0.36728016925235124,0.019397913499818894,2023-05-05,0.0,0.010849451460590992,固定仓位_25%,0.0,0.06534019178369341,0.03218700614235645,0.035148897656623615,风险平价策略,0.054441082506272845,0.0,-1.0,0.0,0.026583976622975788
0.41569043811450057,0.3362530384619919,0.020693387241964147,2023-05-12,0.0,0.012919464684310588,固定仓位_25%,0.0,0.06480393106076988,0.03329192424819694,0.038848878804893856,风险平价策略,0.04229675919051831,0.0,-1.0,0.0,0.03520217819285369
0.418318691775086,0.3356651413939501,0.0219344604141117,2023-05-19,0.0,0.013604397764066339,固定仓位_25%,0.0,0.0637559933698568,0.03443587661372054,0.0412663424785711,风险平价策略,0.039265319826834004,0.0,-1.0,0.0,0.03175377636380341
0.4313796277366816,0.31951775256711984,0.023025489970905633,2023-05-26,0.0,0.014410855531854153,固定仓位_25%,0.0,0.06696260019184752,0.035038519317505665,0.03711187780485196,风险平价策略,0.03834483611835373,0.0,-1.0,0.0,0.034208440760879796
0.40211786287518386,0.28775403975900954,0.028319140331512182,2023-06-02,0.0,0.016771702482499127,固定仓位_25%,0.0,0.08973157828876012,0.04423551481149035,0.04643558660858964,风险平价策略,0.0475067592726502,0.0,-1.0,0.0,0.037127815570304985
0.40820359454135074,0.29382206343679856,0.02785677918535165,2023-06-09,0.0,0.017345068644935263,固定仓位_25%,0.0,0.07880440566762828,0.04450810343788489,0.04225938838125653,风险平价策略,0.04875261888759979,0.0,-1.0,0.0,0.03844797781719413
0.37940342699375185,0.25581045382936074,0.03474125844653416,2023-06-16,0.0,0.02024296251063666,固定仓位_25%,0.0,0.0905045210714905,0.05788383599501296,0.05023521105406994,风险平价策略,0.05896951412497384,0.0,-1.0,0.0,0.05220881597416937
0.377577063924826,0.25093880389722956,0.033659959221514844,2023-06-21,0.0,0.02184156418581691,固定仓位_25%,0.0,0.0961176073864929,0.061394580415281834,0.04830889910570342,风险平价策略,0.053457725664382755,0.0,-1.0,0.0,0.05670379619875183
