日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2024-10-14,3696.8033904540,106.0962598274,619.0005627649,2785.8234473629,4674.7467743584,111.5711660415,78161.7373178898,21008.2366054333,5451.0641523478,492.7796750217
2024-10-15,3593.2645389349,106.3466403905,619.3494110847,2786.7548493848,4565.1446586439,111.9090496832,77103.7274663521,20746.8901213466,5314.6301246610,475.3823343325
2024-10-16,3574.4223335233,106.2514957765,627.9064551647,2802.5886837563,4603.2888600096,111.3823487123,77305.2531523592,20847.4079998415,5247.4626033383,471.6718608067
2024-10-17,3530.0218890881,106.5068839509,630.2457909564,2757.8813867073,4572.3071069353,112.1276802749,76599.9132513341,20636.3204550022,5155.1072615195,469.1098671818
2024-10-18,3649.9777116589,106.3216023342,635.1707084125,2789.5490554503,4789.6790841502,111.7401078623,77567.2365441686,20746.8901213466,5239.0666631729,474.7639220782
2024-10-21,3658.3423988164,106.4167469482,642.1066338298,2780.2350352318,4879.2432757880,111.8792364207,78302.6142412757,21048.4437568313,5207.5818875529,466.3711843414
2024-10-22,3685.1093977204,106.1964120526,642.8043304695,2773.7152210788,4907.4827317335,111.2233446456,77768.7098858418,20947.9258783364,5266.3534687103,470.7000701214
2024-10-23,3697.5634874882,106.0311608810,646.3543751357,2783.0292412974,4922.0202031374,110.8357722331,77285.1738658262,20983.1071358096,5285.2443340823,481.2130784443
2024-10-24,3655.3682878270,105.9260010444,640.7933225082,2779.3036332100,4895.1175261715,110.7363946914,77567.2365441686,21214.2982563479,5260.0565135863,480.2412877590
2024-10-25,3678.9752938049,105.9560467120,640.9780069128,2745.7731604232,5009.5792263056,110.5078263455,76952.7428520655,20867.5115755405,5262.1554986276,474.7639220782
2024-10-28,3687.8976267729,106.0161380472,642.8864124271,2780.2350352318,5070.7368646254,110.1600049497,77436.2788720811,21003.2107115086,5230.6707230076,462.7490554234
2024-10-29,3656.6694613849,106.1212978837,648.2422601606,2805.3828898219,4994.3733654119,110.7463324456,77063.5531899857,20897.6669390890,5102.6326354861,452.4127363160
2024-10-30,3618.0060185235,106.1012674386,655.2397470461,2808.1770958874,5017.9340949285,110.6668304122,77234.8055304079,20973.0553479601,5129.9194410235,456.2998990573
2024-10-31,3612.4295604185,106.1112826612,652.2027146149,2786.7548493848,5092.6266204175,110.8755232497,77103.8478583203,20817.2526362930,5161.4042166435,462.5723662079
2024-11-01,3625.6271779337,106.3566556131,646.1081292629,2759.7441907510,4944.2441536743,111.5214772707,77083.7005241530,20902.6928330137,5176.0971119329,470.5233809059
2024-11-04,3675.7638917899,106.3015718892,641.6551830630,2780.2350352318,5066.6330836583,111.4320374831,78000.4042287659,20963.0035601106,5182.3940670569,469.9049686516
2024-11-05,3776.9657771663,106.4868535059,641.2858142538,2754.1557786199,5256.0085473373,111.9587384540,78201.8775704391,21118.8062717777,5199.1859473875,473.5270975696
2024-11-06,3751.7117287054,106.4818458946,640.3245808927,2780.8184555732,5261.7166730155,111.8295476499,77335.5422012445,21068.5473325303,5073.2468449074,470.6117255137
2024-11-07,3884.4811746579,106.6120437875,627.3377046314,2845.9938881257,5363.1198468294,111.9388629457,77043.4058558184,21561.0849371553,5203.3839174702,479.4461862892
2024-11-08,3818.0036059152,106.6320742325,631.5916735485,2814.3936784033,5357.0759490524,112.1078047665,77667.9732150052,21802.3278455430,5213.8788426769,475.3823343325
2024-11-11,3837.5012168593,106.6470970663,631.9189019267,2883.5191371711,5448.2380738553,112.2966220957,77123.9951924877,21500.7742100583,5169.8001568089,471.1417931602
2024-11-12,3791.6354082575,106.9475537421,621.5294009176,2887.4691633864,5378.9011354693,113.0419536583,75864.7868070304,21023.3142872076,5108.9295906101,460.7171294450
2024-11-13,3818.5606805136,106.8724395731,620.2204874047,2890.4316830479,5370.1710609026,112.7239455250,74756.6834278280,20887.6475841113,5148.8103063955,463.9858799320
2024-11-14,3752.6401863694,106.8774471844,608.5834282036,2866.7315257561,5237.7089679569,112.5053149333,73709.0220511275,20681.6351831134,5073.2468449074,462.4840216001
2024-11-15,3690.8049059468,106.8724395731,608.8288494872,2778.8434424656,5123.0427962435,112.3959996374,74404.1050798999,20902.7216622332,5008.1783086260,459.5484623171
2024-11-18,3671.6786780683,106.7121960127,616.4369092813,2785.7559883423,4998.1355755191,111.2332823998,74303.3684090633,20616.3141779189,5050.1580094527,457.6803791369
2024-11-19,3688.9479906188,106.9125004632,625.9469840239,2800.5685866497,5114.6484937755,111.8196098957,74877.5674328319,20686.6598758206,5087.9397401968,470.2232233465
2024-11-20,3695.2615027340,106.8323786830,626.5605372331,2791.6810276653,5196.7447719129,111.6307925665,75099.1881086723,20902.7216622332,5117.3255307755,470.2232233465
2024-11-21,3703.8033132428,107.0226679110,633.9436275171,2786.7434948962,5193.7228230244,112.2367258595,74928.0964177252,20822.3265789169,5115.2265457341,470.2232233465
2024-11-22,3584.5893491848,107.0076570174,642.0629816521,2732.4306344358,4995.6172847787,112.6539258317,74233.6654368222,20520.8450164808,5108.9295906101,478.5851194862
2024-11-25,3564.3489721095,107.1727768473,633.1460083451,2757.1182982814,5030.5375830458,113.3393257861,74636.2341214037,20721.8327247715,5079.5438000314,479.5636392472
2024-11-26,3561.5635991175,107.1177369040,624.6380705109,2771.9308965888,4964.3904795976,113.3691257841,74213.5370025931,20661.5364122843,5037.5640992047,470.4900923722
2024-11-27,3622.2847303433,107.0877151167,630.3850189037,2768.9683769273,5109.4440262453,113.0512591386,74606.0414700601,20676.6104904061,5052.2569944941,471.4686121333
2024-11-28,3595.3594580872,107.2478313154,627.0513798004,2765.0183507120,5067.4725139051,113.6671257642,74243.7296539367,20324.8820008974,4991.3864282954,468.5330528502
2024-11-29,3631.1979239177,107.1677732161,632.7778764196,2766.0058572658,5167.5325993241,113.7763924236,74304.1149566239,20490.6968602372,5048.0590244114,471.8244375009
2024-12-02,3659.9801115018,107.5780709751,627.1331868950,2748.2307392970,5260.5414706700,114.6703923641,74193.4085683640,20490.6968602372,5043.8610543287,472.2692192105
2024-12-03,3663.3225590923,107.3779257268,633.3096225342,2722.5555688975,5259.3662683245,114.1836590632,74817.3900294653,20485.6721675299,5039.6630842461,472.3581755524
2024-12-04,3644.0106396810,107.6581290745,632.1847749841,2672.1927346524,5180.7955972236,115.0180590076,75230.0229311613,20681.6351831134,5054.3559795354,480.8090280340
2024-12-05,3638.2542021642,107.6431181808,632.3688409468,2626.7674331764,5251.1398519058,114.9385923462,75008.6101546415,20606.2647925044,4957.8026676340,471.0238304237
2024-12-06,3684.1200107659,107.6281072872,629.8532727891,2622.8174069611,5316.6154111565,114.6107923681,75209.8944969322,20410.3017769209,4953.6046975513,467.9103584568
2024-12-09,3679.8491055115,107.5930818687,633.1051047978,2647.5050708067,5258.1910659790,114.6604590314,75219.9587140468,20425.3425298884,4911.6249967246,468.3551401663
2024-12-10,3714.2020390796,108.2935902379,635.4775105401,2639.6050183761,5337.2653952279,116.1703255975,75612.4631815137,20375.2066866634,4962.0006377167,468.5330528502
2024-12-11,3708.2599100300,108.1985212449,641.2244589329,2616.8923676382,5397.7043729977,116.2299255936,75974.7749976370,20455.4240358235,5010.2772936674,474.0483460487
2024-12-12,3749.8548133774,108.3586374436,645.6420420391,2612.9423414228,5437.6612527456,116.3093922549,75924.4539120643,20615.8587341437,5020.7722188740,481.4637272628
2024-12-13,3653.4809078538,108.5687899543,639.7314794572,2608.9923152075,5337.9369394253,116.9649922113,75270.2797996195,20405.2881925984,5041.3829422684,483.9653016483
2024-12-16,3631.5693069833,108.7939533587,633.7186580070,2617.8798741920,5257.6874078309,117.5212588409,74867.7111150380,20269.9214158908,5171.2304996531,488.6110826499
2024-12-17,3641.7823412874,108.6938807345,633.1255565715,2581.3421317004,5157.1236642638,117.4219255142,74827.4542465799,19979.1335251854,5169.1694273137,489.2364762463
2024-12-18,3658.3088877066,108.5437717983,632.4710998150,2534.9293236706,5195.9053416661,116.7663255579,74404.7571277693,19979.1335251854,5138.2533422221,483.1612241672
2024-12-19,3662.5797929611,108.6138226352,627.3786081787,2539.8668564397,5219.5772746260,116.3590589183,74324.2433908530,19903.9297603478,5105.2761847911,485.4841146680
2024-12-20,3653.4809078538,108.9740840822,627.8080954251,2600.1047562231,5270.2788615329,117.6106588350,74294.0507395094,20029.2693684105,5090.8486784150,480.3022820124
2024-12-23,3656.2681224616,108.8339824084,634.1481452535,2583.3171448081,5132.1352891771,117.3027255221,74605.9147304268,19969.1063565404,5117.6426188277,484.5013533023
2024-12-24,3700.8635561858,108.7789424651,631.5303182276,2595.1672234540,5189.0179366177,116.6669922311,74505.3134430341,19934.0112662829,5099.0929677727,483.0718822249
2024-12-25,3702.3500706432,108.6788698409,632.9823941560,2611.9548348690,5146.5252446308,116.5378589064,74585.7944729482,19949.0520192504,5086.7265337361,489.1471343039
2024-12-26,3704.3940280223,108.5787972168,633.7391097807,2634.6674856070,5189.6951109920,116.3888589163,74485.1931855555,19813.6852425427,5014.5890018557,488.5217407076
2024-12-27,3701.0493704929,108.9390586637,634.2299523480,2636.6424987147,5200.3606073871,117.7397921597,74535.4938292519,19848.7803328003,4967.1843380486,486.8242438031
2024-12-30,3715.5428864533,108.6738662097,631.6121253221,2649.4800839144,5191.8959277085,117.2232588608,74716.5761465588,19858.8075014453,5004.2836401585,491.2019989777
2024-12-31,3645.3050783377,109.0041058694,631.5507700012,2662.3176691141,5016.5077647664,118.0377921399,74213.5697095952,19833.7395798328,5041.3829422684,500.2255351539
2025-01-02,3548.1241956804,109.2592910611,636.3426604490,2682.0678001906,4890.8919183350,119.1801253971,73720.6234013710,19999.1878624755,5132.0701252038,500.9402706926
