Date,增长预期动量,通胀预期动量
2021-11-05,1.0,-0.9565775264659758
2021-11-12,0.010250606753237917,-1.0
2021-11-19,-0.7424181965064467,-1.0
2021-11-26,-0.9820749974126831,-1.0
2021-12-03,-1.0,-1.0
2021-12-10,-1.0,-1.0
2021-12-17,-1.0,-1.0
2021-12-24,-1.0,-1.0
2021-12-31,-1.0,-1.0
2022-01-07,-1.0,-1.0
2022-01-14,-1.0,-1.0
2022-01-21,-1.0,-1.0
2022-01-28,-1.0,-0.5584054123198079
2022-02-04,-1.0,0.2733236014857568
2022-02-11,-1.0,0.8203150356501044
2022-02-18,-1.0,1.0
2022-02-25,-0.9999999999999999,1.0
2022-03-04,-1.0,1.0
2022-03-11,-1.0,1.0
2022-03-18,-0.9999999999999998,1.0
2022-03-25,-0.8964257258078696,1.0
2022-04-01,-0.7389502014102619,0.7222182191133045
2022-04-08,-0.1338426105754327,-0.014609561442732824
2022-04-15,1.0,-0.5516183412692529
2022-04-22,0.5225876982433317,-1.0
2022-04-29,-0.17352029894372445,-1.0
2022-05-06,-0.6175619408500478,-1.0
2022-05-13,-1.0,-1.0
2022-05-20,-1.0,-1.0
2022-05-27,-1.0,-0.9389828729897394
2022-06-03,-1.0,-0.6970354437307115
2022-06-10,-0.2771881919720292,0.39379615905104387
2022-06-17,0.11190095493600703,1.0
2022-06-24,0.5795210227360962,0.566854432623947
2022-07-01,0.937272489564196,0.22113685829478363
2022-07-08,-0.7267346593960257,-0.6765293803872592
2022-07-15,-0.9086437160202957,-1.0
2022-07-22,-1.0,-1.0
2022-07-29,-0.9384889819856358,-1.0
2022-08-05,-0.8641108466575388,-1.0
2022-08-12,0.10780842401156411,-0.9252356997750517
2022-08-19,1.0,-0.658029517265998
2022-08-26,1.0,0.15214187016767142
2022-09-02,0.9124893709827111,1.0
2022-09-09,0.13583683453493708,0.9949931489680285
2022-09-16,-0.8033413772556208,0.8047908855949485
2022-09-23,-1.0,-0.23888460625344204
2022-09-30,-1.0,-0.8126883235165625
2022-10-07,-0.5331889833340387,-0.13374936058521894
2022-10-14,-0.7845408556901087,0.369236105958503
2022-10-21,-0.8770763511636718,1.0
2022-10-28,-0.9111062502968571,1.0
2022-11-04,-1.0,1.0
2022-11-11,-0.886407319279821,1.0
2022-11-18,-0.193690884413329,1.0
2022-11-25,0.4680251083208042,0.8784305779586439
2022-12-02,1.0,0.4798628194142498
2022-12-09,1.0,-0.18354656060568647
2022-12-16,1.0,-1.0
2022-12-23,1.0,-1.0
2022-12-30,1.0,-0.6934106021644543
2023-01-06,1.0,-0.20552268869284185
2023-01-13,1.0,0.39024255250027895
2023-01-20,1.0,0.08479728962363647
2023-01-27,1.0,-0.737089905152776
2023-02-03,1.0,-1.0
2023-02-10,0.8941923683746602,-1.0
2023-02-17,0.4305031887639095,-1.0
2023-02-24,-0.21726408317567714,-1.0
2023-03-03,-1.0,-0.9999999999999999
2023-03-10,-0.6859312987066994,-1.0
2023-03-17,-0.14258389089879567,-1.0
2023-03-24,0.23376926356001937,-1.0000000000000002
2023-03-31,0.47435244067604826,-1.0
2023-04-07,-0.20032936525248643,-0.9072178075918079
2023-04-14,-1.0,-0.8059643904164135
2023-04-21,-0.28762796773977073,-0.049012074866218606
2023-04-28,0.08551924077833277,0.7500328563112646
2023-05-05,0.7070877087528007,-0.08555813496051212
2023-05-12,0.8917596127060293,-0.41382802265990576
2023-05-19,0.42213630793727347,-1.0
2023-05-26,-0.21563887559702835,-1.0
2023-06-02,-0.5519518066156807,-1.0
2023-06-09,-1.0,-1.0
2023-06-16,-1.0,-1.0
2023-06-23,-0.7170045710871616,-0.806525806279965
2023-06-30,-0.2183138154154479,-0.2328966828633987
2023-07-07,0.8224242560711229,0.5436233685708453
2023-07-14,1.0,1.0
2023-07-21,1.0,1.0
2023-07-28,1.0,1.0
