,风险平价策略,全天候策略,全天候增强策略 (动量择时)
2017-07-18,1.399886277594797,1.4351787165128684,1.8961100290334363
2017-07-19,1.4068076855449598,1.4412550265004431,1.902057541227349
2017-07-20,1.4082833708176432,1.4420231643368446,1.906504040038439
2017-07-21,1.4051459673034796,1.439996529781304,1.907800148205165
2017-07-24,1.4065446819488763,1.4423330235123073,1.9143712763264096
2017-07-25,1.4082760470861782,1.4462772810635545,1.9117800579588475
2017-07-26,1.4046893842306,1.441771073656473,1.901454980502376
2017-07-27,1.4079142343455435,1.4463029799314415,1.9064670960902799
2017-07-28,1.4101956254097938,1.448934252724077,1.9084638813004866
2017-07-31,1.4128830916946622,1.4514754691012384,1.9081298415643362
2017-08-01,1.4118016889983027,1.4489871816217896,1.902531562674135
2017-08-02,1.4112471272477498,1.4468169059621767,1.8998777998295666
2017-08-03,1.4064043854682022,1.441381761421871,1.8940938679100658
2017-08-04,1.4051958202745678,1.4416452559407924,1.8965190742870468
2017-08-07,1.4066089656846,1.4406630420218123,1.8929753942445304
2017-08-08,1.410671644810996,1.443770550647962,1.89711725504716
2017-08-09,1.4206765771823662,1.4532995181528738,1.9104751139843312
2017-08-10,1.420290705843197,1.454685922244356,1.9140230829038742
2017-08-11,1.4114822555226392,1.4485594154819494,1.91047536610937
2017-08-14,1.4123678698029039,1.448441929365857,1.9075794099768093
2017-08-15,1.4109705284656568,1.445960087990832,1.9033266337908186
2017-08-16,1.4110155143448893,1.4436025628031566,1.8993473094295419
2017-08-17,1.4209503128317584,1.454235833636056,1.9133051277338484
2017-08-18,1.4225654604999838,1.4587875644406862,1.9201084437341547
2017-08-21,1.4234196728735748,1.4582325785488695,1.9180537079014635
2017-08-22,1.4246324666683858,1.4585513409945041,1.9182671724734464
2017-08-23,1.42424996423622,1.4584041136847803,1.917663313563221
2017-08-24,1.424409476502614,1.4593762319329193,1.9202288726064467
2017-08-25,1.431507626196311,1.4645603876666813,1.9239203948434958
2017-08-28,1.433516588421908,1.4667040536344695,1.9250625661439071
2017-08-29,1.4337710723822725,1.4702932171454606,1.932247529157364
2017-08-30,1.4320409285237037,1.4667176114626004,1.9271797910620616
2017-08-31,1.4333023461940673,1.4669843845686301,1.927697656891381
2017-09-01,1.437818040482105,1.4723299488072081,1.9338109543153865
