日期,T-1原始信号,标准化信号,股指总仓位,沪深300主连权重,中证1000主连权重,闲置资金比例,逆回购日收益,换手率,交易成本,沪深300主连日收益,中证1000主连日收益,策略日收益,基准沪深300主连权重,基准中证1000主连权重,基准日收益,策略净值,基准净值,超额净值,当日超额收益
2020-09-14,1.0,1.0,1.0,1.0,0.0,0.0,0.00016963013698630139,0.0,0.0,0.006980878463,0.0,0.006980878463,1.0,0.0,0.006980878463,1.5637396911276573,1.212864504103656,1.289294629232561,0.0
2020-09-15,1.0,1.0,1.0,1.0,0.0,0.0,5.99041095890411e-05,0.0,0.0,0.007061660351,0.0,0.007061660351,1.0,0.0,0.007061660351,1.5747822897037786,1.2214293412834203,1.289294629232561,0.0
2020-09-16,1.0,1.0,1.0,1.0,0.0,0.0,6.067123287671233e-05,0.0,0.0,-0.0062852745,0.0,-0.0062852745,1.0,0.0,-0.0062852745,1.564884350735252,1.2137523225910998,1.289294629232561,0.0
2020-09-17,1.0,1.0,1.0,1.0,0.0,0.0,6.206849315068494e-05,0.0,0.0,-0.0048620971559999995,0.0,-0.0048620971559999995,1.0,0.0,-0.0048620971559999995,1.5572757309840732,1.2078509408753413,1.289294629232561,0.0
2020-09-18,1.0,1.0,1.0,1.0,0.0,0.0,7.204109589041096e-05,0.0,0.0,0.017511241785,0.0,0.017511241785,1.0,0.0,0.017511241785,1.584545562835248,1.2290019107412493,1.2892946292325609,0.0
2020-09-21,1.0,1.0,1.0,1.0,0.0,0.0,0.00026908219178082193,0.0,0.0,-0.012925572358,0.0,-0.012925572358,1.0,0.0,-0.012925572358,1.5640644045082732,1.213116357615843,1.289294629232561,0.0
2020-09-22,1.0,1.0,1.0,1.0,0.0,0.0,9.338356164383563e-05,0.0,0.0,-0.011939404314,0.0,-0.011939404314,1.0,0.0,-0.011939404314,1.5453904072097133,1.1986324709423404,1.289294629232561,0.0
2020-09-23,1.0,1.0,1.0,1.0,0.0,0.0,9.023287671232878e-05,0.0,0.0,0.000736281346,0.0,0.000736281346,1.0,0.0,0.000736281346,1.546528249338829,1.199515001671405,1.2892946292325613,0.0
2020-09-24,1.0,1.0,1.0,1.0,0.0,0.0,8.026027397260275e-05,0.0,0.0,-0.015753483944,0.0,-0.015753483944,1.0,0.0,-0.015753483944,1.5221650413939274,1.1806184613519872,1.2892946292325613,0.0
2020-09-25,1.0,1.0,1.0,1.0,0.0,0.0,7.623287671232876e-05,0.0,0.0,0.0032978629850000003,0.0,0.0032978629850000003,1.0,0.0,0.0032978629850000003,1.5271849331410015,1.1845119792750876,1.2892946292325613,0.0
2020-09-28,1.0,1.0,1.0,1.0,0.0,0.0,0.0002617671232876712,0.0,0.0,0.0029802340360000003,0.0,0.0029802340360000003,1.0,0.0,0.0029802340360000003,1.5317363016580146,1.1880421021917729,1.2892946292325613,0.0
2020-09-29,1.0,1.0,1.0,1.0,0.0,0.0,8.078082191780822e-05,0.0,0.0,0.002010050251,0.0,0.002010050251,1.0,0.0,0.002010050251,1.5348151685956282,1.1904301265174821,1.2892946292325613,0.0
2020-09-30,1.0,1.0,1.0,1.0,0.0,0.0,8.352054794520549e-05,0.0,0.0,-0.006715799573,0.0,-0.006715799573,1.0,0.0,-0.006715799573,1.5245076575417398,1.1824354363821297,1.2892946292325613,0.0
2020-10-09,1.0,1.0,1.0,1.0,0.0,0.0,0.0008077671232876711,0.0,0.0,0.023049567546000002,0.0,0.023049567546000002,1.0,0.0,0.023049567546000002,1.5596468997686423,1.2096900618418036,1.2892946292325613,0.0
2020-10-12,1.0,1.0,1.0,1.0,0.0,0.0,0.000337054794520548,0.0,0.0,0.034160157926,0.0,0.034160157926,1.0,0.0,0.034160157926,1.6129246841735354,1.2510132653958324,1.2892946292325613,0.0
2020-10-13,1.0,1.0,1.0,1.0,0.0,0.0,8.913698630136986e-05,0.0,0.0,0.00261432484,0.0,0.00261432484,1.0,0.0,0.00261432484,1.6171413932404193,1.254283820450726,1.2892946292325613,0.0
2020-10-14,1.0,1.0,1.0,1.0,0.0,0.0,7.132876712328767e-05,0.0,0.0,-0.003849178428,0.0,-0.003849178428,1.0,0.0,-0.003849178428,1.6109167274745324,1.2494558582264577,1.2892946292325613,0.0
2020-10-15,1.0,1.0,1.0,1.0,0.0,0.0,5.4506849315068486e-05,0.0,0.0,-0.002285191956,0.0,-0.002285191956,1.0,0.0,-0.002285191956,1.6072354735271217,1.2466006117498616,1.289294629232561,0.0
2020-10-16,1.0,1.0,1.0,1.0,0.0,0.0,4.987671232876713e-05,0.0,0.0,-0.003123308208,0.0,-0.003123308208,1.0,0.0,-0.003123308208,1.6022155817804657,1.2427070938270854,1.289294629232561,0.0
2020-10-19,1.0,1.0,1.0,1.0,0.0,0.0,0.00016124657534246576,0.0,0.0,-0.007509334227999999,0.0,-0.007509334227999999,1.0,0.0,-0.007509334227999999,1.5901840094715667,1.2333751909120312,1.2892946292325613,0.0
2020-10-20,1.0,1.0,1.0,1.0,0.0,0.0,6.121917808219177e-05,0.0,0.0,0.006424887987,0.0,0.006424887987,1.0,0.0,0.006424887987,1.60040076361114,1.2412994883595856,1.2892946292325613,0.0
2020-10-21,1.0,1.0,1.0,1.0,0.0,0.0,6.806849315068493e-05,0.0,0.0,0.0015959680809999998,0.0,0.0015959680809999998,1.0,0.0,0.0015959680809999998,1.6029549521466715,1.2432805627219692,1.2892946292325613,0.0
2020-10-22,1.0,1.0,1.0,1.0,0.0,0.0,6.108219178082192e-05,0.0,0.0,-0.0038996980879999997,0.0,-0.0038996980879999997,1.0,0.0,-0.0038996980879999997,1.596703911784635,1.2384321438886747,1.2892946292325616,0.0
2020-10-23,1.0,1.0,1.0,1.0,0.0,0.0,5.3849315068493145e-05,0.0,0.0,-0.008419280152,0.0,-0.008419280152,1.0,0.0,-0.008419280152,1.5832608142315259,1.228005436720034,1.2892946292325616,0.0
2020-10-26,1.0,1.0,1.0,1.0,0.0,0.0,0.00019856164383561645,0.0,0.0,-0.008703035449,0.0,-0.008703035449,1.0,0.0,-0.008703035449,1.5694816392402564,1.2173180618726949,1.2892946292325613,0.0
2020-10-27,1.0,1.0,1.0,1.0,0.0,0.0,7.80958904109589e-05,0.0,0.0,0.002269807281,0.0,0.002269807281,1.0,0.0,0.002269807281,1.5730440600923996,1.2200811392728261,1.2892946292325616,0.0
2020-10-28,1.0,1.0,1.0,1.0,0.0,0.0,0.0001033013698630137,0.0,0.0,0.009315045079999999,0.0,0.009315045079999999,1.0,0.0,0.009315045079999999,1.5876970364249865,1.23144625008641,1.2892946292325618,0.0
2020-10-29,1.0,1.0,1.0,1.0,0.0,0.0,0.00011365753424657534,0.0,0.0,0.009779433555,0.0,0.009779433555,1.0,0.0,0.009779433555,1.6032238140981752,1.2434890968656842,1.2892946292325616,0.0
2020-10-30,1.0,1.0,1.0,1.0,0.0,0.0,0.00011763013698630137,0.0,0.0,-0.018195539158,0.0,-0.018195539158,1.0,0.0,-0.018195539158,1.5740522924097138,1.2208631423111187,1.2892946292325616,0.0
2020-11-02,1.0,1.0,1.0,1.0,0.0,0.0,0.00034026027397260274,0.0,0.0,0.0058502007,0.0,0.0058502007,1.0,0.0,0.0058502007,1.583260814232606,1.2280054367208715,1.2892946292325616,0.0
2020-11-03,1.0,1.0,1.0,1.0,0.0,0.0,7.845205479452055e-05,0.0,0.0,0.009621524969000001,0.0,0.009621524969000001,1.0,0.0,0.009621524969000001,1.598494197689184,1.239820721692349,1.2892946292325616,0.0
2020-11-04,1.0,1.0,1.0,1.0,0.0,0.0,6.152054794520548e-05,0.0,0.0,0.008264811301,0.0,0.008264811301,1.0,0.0,0.008264811301,1.6117054505988284,1.2500676060042057,1.2892946292325616,0.0
2020-11-05,1.0,1.0,1.0,1.0,0.0,0.0,5.549315068493151e-05,0.0,0.0,0.016686880515,0.0,0.016686880515,1.0,0.0,0.016686880515,1.6385997868783453,1.27092733478127,1.2892946292325618,0.0
2020-11-06,1.0,1.0,1.0,1.0,0.0,0.0,5.524657534246575e-05,0.0,0.0,0.000534759358,0.0,0.000534759358,1.0,0.0,0.000534759358,1.6394760434483955,1.2716069750668824,1.2892946292325618,0.0
2020-11-09,1.0,1.0,1.0,1.0,0.0,0.0,0.00018483561643835617,0.0,0.0,0.021420055092,0.0,0.021420055092,1.0,0.0,0.021420055092,1.6745937106210744,1.2988448665281866,1.2892946292325616,0.0
2020-11-10,1.0,1.0,1.0,1.0,0.0,0.0,6.790410958904111e-05,0.0,0.0,-0.00563516342,0.0,-0.00563516342,1.0,0.0,-0.00563516342,1.6651571013996205,1.2915256634480723,1.2892946292325616,0.0
2020-11-11,1.0,1.0,1.0,1.0,0.0,0.0,8.031506849315068e-05,0.0,0.0,-0.008257772021,0.0,-0.008257772021,1.0,0.0,-0.008257772021,1.6514066136771133,1.2808605389600474,1.2892946292325616,0.0
