date,策略名称,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,红利低波ETF,有色ETF,能源化工ETF
2017-09-30,风险平价策略,0.07090279358232278,0.28377348121209295,0.07770951915987967,0.05071960700541629,0.0526999010062187,0.26064143470969053,0.10194757657793206,0.05578938183972012,0.045816304906726876
2017-10-31,风险平价策略,0.09987959154307596,0.16517229696593447,0.10045132948244634,0.06949042945037949,0.05051653651386407,0.23450158103947866,0.15679223122670516,0.0624607961134555,0.060735207664660305
2017-11-30,风险平价策略,0.05173413252620114,0.19509106657657146,0.12680730237324284,0.08873840376884043,0.03966422408707888,0.2769563926142144,0.08521378662771058,0.05624006691139204,0.07955462451474823
2017-12-31,风险平价策略,0.04944413978394371,0.23814379294720628,0.11425775044454593,0.07257607241951926,0.04550512090803774,0.281196918435203,0.07738101153307207,0.06224857681098306,0.059246616717488966
2018-01-31,风险平价策略,0.04750700254509451,0.20299199283787675,0.07752069733127284,0.08335735934725878,0.04269674760216247,0.36604219560297213,0.0674297796230559,0.05361117882079836,0.05884304628950839
2018-02-28,风险平价策略,0.022373702590136033,0.20160169423548804,0.06799236169294295,0.08946746539452062,0.025472193036246447,0.46013214556152077,0.028962831864543185,0.0454959257679581,0.058501679856643646
2018-03-31,风险平价策略,0.018063213615687655,0.22878766637157308,0.0621918562207875,0.06006387661792672,0.020065856706218896,0.5148084986061975,0.024800912655491107,0.031084189378896433,0.0401339298272211
2018-04-30,风险平价策略,0.028547819018168972,0.2650199906490723,0.09432297332494724,0.06431632498500432,0.03111309712575161,0.35586275524618277,0.03840786486996853,0.05581984642719518,0.06658932835370909
2018-05-31,风险平价策略,0.03127609994870321,0.25526653682673967,0.10092610097731115,0.04480176165603247,0.03292268189346796,0.35464780032026294,0.04360818894694832,0.0660789275908479,0.07047190183968638
2018-06-30,风险平价策略,0.025017943354491815,0.2773274002999278,0.0882355312562172,0.04682179964571558,0.020673893001726246,0.40545504075523237,0.031051796671029804,0.048910925270844015,0.0565056697448152
2018-07-31,风险平价策略,0.030539200387810637,0.27342631113079613,0.09913198609497019,0.061963905182615645,0.02624336184068199,0.3625242151660961,0.03566489422336437,0.0452519262228543,0.06525419975081063
2018-08-31,风险平价策略,0.036718132576110715,0.321587938396127,0.11489020366182115,0.05460240731473927,0.033909895897385314,0.22002671208867497,0.04408747525197856,0.06542950396624425,0.10874773084691884
2018-09-30,风险平价策略,0.038371423676848614,0.3019897886154064,0.10551850998434749,0.06265547368714654,0.036423474429403434,0.24958473840423273,0.04788789837678602,0.06843038389860198,0.08913830892722667
2018-10-31,风险平价策略,0.02227895760030558,0.34303028971338045,0.10657376513756898,0.05155205691291476,0.021246353958625994,0.3150115592411339,0.02563027444772918,0.055612417937305425,0.05906432505103574
