decay,回测区间,组合/资产,区间净值,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
0.71,训练期 (2013-2020),风险平价策略,2.1194,11.88%,7.33%,1.08,-8.77%,73.49%,16.24%
0.71,训练期 (2013-2020),全天候策略,1.7613,8.83%,7.72%,0.67,-9.08%,62.65%,17.80%
0.71,训练期 (2013-2020),全天候增强策略 (动量择时),2.3360,13.52%,9.52%,1.00,-12.10%,66.27%,18.48%
0.71,验证期 (2021-2026),风险平价策略,1.7175,11.35%,6.74%,1.31,-6.77%,68.25%,12.70%
0.71,验证期 (2021-2026),全天候策略,1.8603,13.13%,7.70%,1.36,-6.89%,71.43%,16.05%
0.71,验证期 (2021-2026),全天候增强策略 (动量择时),1.9869,14.62%,10.23%,1.18,-13.08%,71.43%,15.80%
0.74,全局 (Total),风险平价策略,3.5738,11.48%,6.94%,1.17,-8.69%,71.23%,14.66%
0.74,全局 (Total),全天候策略,3.2574,10.60%,7.68%,0.96,-9.01%,66.44%,17.03%
0.74,全局 (Total),全天候增强策略 (动量择时),4.6394,13.99%,9.82%,1.08,-13.09%,68.49%,17.29%
0.74,训练期 (2013-2020),风险平价策略,2.0862,11.62%,7.23%,1.06,-8.69%,72.29%,16.20%
0.74,训练期 (2013-2020),全天候策略,1.7484,8.71%,7.69%,0.66,-9.01%,62.65%,17.78%
0.74,训练期 (2013-2020),全天候增强策略 (动量择时),2.3320,13.49%,9.51%,1.00,-12.12%,66.27%,18.43%
0.74,验证期 (2021-2026),风险平价策略,1.7131,11.29%,6.54%,1.34,-6.50%,69.84%,12.61%
0.74,验证期 (2021-2026),全天候策略,1.8631,13.16%,7.67%,1.37,-6.78%,71.43%,16.04%
0.74,验证期 (2021-2026),全天候增强策略 (动量择时),1.9895,14.65%,10.22%,1.18,-13.09%,71.43%,15.78%
0.77,全局 (Total),风险平价策略,3.5132,11.31%,6.82%,1.17,-8.61%,71.23%,14.61%
0.77,全局 (Total),全天候策略,3.2412,10.55%,7.65%,0.96,-9.10%,66.44%,17.02%
0.77,全局 (Total),全天候增强策略 (动量择时),4.6349,13.98%,9.82%,1.08,-13.11%,67.81%,17.26%
0.77,训练期 (2013-2020),风险平价策略,2.0553,11.37%,7.14%,1.04,-8.61%,72.29%,16.17%
0.77,训练期 (2013-2020),全天候策略,1.7361,8.59%,7.65%,0.65,-9.10%,62.65%,17.76%
0.77,训练期 (2013-2020),全天候增强策略 (动量择时),2.3282,13.46%,9.51%,1.00,-12.14%,65.06%,18.37%
0.77,验证期 (2021-2026),风险平价策略,1.7093,11.24%,6.36%,1.37,-6.26%,69.84%,12.54%
0.77,验证期 (2021-2026),全天候策略,1.8669,13.21%,7.64%,1.38,-6.68%,71.43%,16.03%
0.77,验证期 (2021-2026),全天候增强策略 (动量择时),1.9908,14.66%,10.22%,1.18,-13.11%,71.43%,15.77%
0.80,全局 (Total),风险平价策略,3.4571,11.16%,6.71%,1.17,-8.66%,71.92%,14.57%
0.80,全局 (Total),全天候策略,3.2297,10.52%,7.62%,0.96,-9.23%,65.75%,17.01%
0.80,全局 (Total),全天候增强策略 (动量择时),4.6280,13.96%,9.81%,1.08,-13.12%,67.81%,17.22%
0.80,训练期 (2013-2020),风险平价策略,2.0266,11.13%,7.07%,1.02,-8.66%,72.29%,16.14%
