decay,window,period,observations,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,annual_turnover,average_max_weight,average_rc_error
0.94,126,train,1707,0.7236438181394551,0.08369267392507274,0.04561253942188006,1.7851802847046563,-0.058801935303600006,1.4232979491739426,0.6904761904761905,3.2634892111387552,0.38691402912338163,6.862482473813883e-11
0.94,126,validation,1271,0.5197941760139144,0.08653144637698751,0.0443587864393068,1.8934154514899657,-0.03240887908268553,2.6699919536315284,0.734375,2.953493666315112,0.44260172390454416,8.309609250689576e-11
0.94,252,total,2957,1.6405734367085043,0.08626993826119045,0.04507068198335336,1.8588488837381336,-0.05879586741451304,1.467278944164293,0.7142857142857143,3.191601342418926,0.4117983281632727,6.72971009040117e-11
0.94,252,train,1686,0.7374952707266971,0.08607663709049662,0.04561655336891448,1.8332141961753867,-0.05879586741451304,1.4639912782245927,0.6987951807228916,3.3723898558410594,0.38805193940386223,5.531510407015566e-11
0.94,252,validation,1271,0.519758632553923,0.08652640816672563,0.044354093983636406,1.8935064666121644,-0.03240140687822046,2.670452196471964,0.734375,2.9517827479030196,0.4425944260856333,8.283625304791875e-11
0.94,504,total,2698,1.2474612257285567,0.07857149561330368,0.04485495422693919,1.7089638677715935,-0.05879586333555631,1.3363439391115841,0.7089552238805971,3.1210037899319416,0.41009248553482014,8.426951849842744e-11
0.94,504,train,1427,0.4788277656479878,0.07153527117553504,0.04530796804911287,1.5477954922536752,-0.05879586333555631,1.216671839093052,0.6857142857142857,3.2717265425755464,0.38037643699069285,8.402601848438758e-11
0.94,504,validation,1271,0.5197586074154958,0.08652640460337335,0.044354092925155075,1.8935064367712324,-0.032401402815242286,2.670452421358422,0.734375,2.9517816278371933,0.4425944136299594,8.453584663878355e-11
0.97,126,total,3080,1.4306867182074083,0.07537427834632782,0.0438788969679829,1.678306094065946,-0.05604062464432458,1.3449935439640255,0.6928104575163399,1.9405036598659635,0.40251313596620514,9.995204155992155e-11
0.97,126,train,1707,0.645704098242861,0.07631514168742437,0.04455876359917945,1.672984634766524,-0.05604062464432491,1.3617824956766003,0.6904761904761905,1.9643595031539292,0.3761896257571327,8.56562658104108e-11
0.97,126,validation,1271,0.4885514642426856,0.08206594824312852,0.04224213343356549,1.8885773175822775,-0.03444904648576019,2.3822415020122887,0.71875,1.7495842139540776,0.4429621956755082,9.511109478124724e-11
0.97,252,total,2957,1.4702966110109865,0.08011667516757193,0.04345140790314669,1.795687675286773,-0.055789114100816994,1.436062867440275,0.7074829931972789,1.8872578390803887,0.40577552176658094,9.521382114336256e-11
0.97,252,train,1686,0.659804529480446,0.07867614327560868,0.04446326480948549,1.7257774596489168,-0.055789114100816994,1.4102418463471624,0.6987951807228916,2.0272377010312304,0.37720466545770837,9.798701709466924e-11
0.97,252,validation,1271,0.48830574151056005,0.08203053065834442,0.042088779068702266,1.8945262020338047,-0.034086357971992554,2.406550172527841,0.71875,1.701572514730177,0.4428283510421501,9.161733264401173e-11
0.97,504,total,2698,1.1212082649254205,0.07276279795511065,0.04288433474876936,1.6595122070723856,-0.05577636568180244,1.304545340408405,0.7014925373134329,1.837160145972183,0.40737182704265035,1.2479699311679608e-10
0.97,504,train,1427,0.4252561277588922,0.06457583741510842,0.0435912109716192,1.4574875228914468,-0.05577636568180244,1.1577634473982388,0.6857142857142857,1.9590579224555873,0.37497221636693945,1.3232658282616835e-10
0.97,504,validation,1271,0.48829969828711683,0.082029659550936,0.042087131700173565,1.8945795721982615,-0.03407547676516731,2.4072930840042854,0.71875,1.7003008800069446,0.4428089012192092,1.1656150437217017e-10
0.99,126,total,3080,1.3312879150553498,0.07170690578353667,0.04330354118555437,1.621109302331362,-0.05823971139005912,1.231237313373367,0.7189542483660131,1.1703254197714188,0.4003916411925084,6.887410685347469e-11
0.99,126,train,1707,0.5958543127013398,0.0714387960688001,0.04462099942518311,1.568920271116239,-0.05823971139005912,1.2266337583704772,0.7261904761904762,1.1554903786037418,0.37091821171706507,7.461111589668334e-11
0.99,126,validation,1271,0.4754529690603395,0.08017140890015884,0.04088906590746526,1.9068100358200817,-0.03488986599927968,2.297842270354779,0.734375,0.9981470413187608,0.4426028388295996,6.450455902924646e-11
