strategy,year,observations,cumulative_return,annual_return,annual_volatility,sharpe,max_drawdown,calmar,monthly_win_rate,annual_turnover,average_max_weight,average_rc_error
erc,2016,244,0.06758244719191131,0.06987396417258096,0.0476703967139896,1.4407748489174752,-0.055789114100817216,1.252465920973594,0.75,,,
erc,2017,244,0.028087088406314242,0.02902121379608813,0.039538362137712925,0.7432778348740257,-0.04029497381383684,0.7202191997981289,0.5833333333333334,,,
erc,2018,243,0.05750882922070266,0.059701159429753625,0.03739493759268094,1.569445180669782,-0.02445401763795141,2.4413640455178385,0.75,,,
erc,2019,244,0.06278011798150485,0.06490390266543589,0.030812655785757353,2.056465994051194,-0.03198206002636794,2.0293846804091165,0.6666666666666666,,,
erc,2020,243,0.10580165318580814,0.10992826278785794,0.0450646838186865,2.337250170093367,-0.027269623318598057,4.031161762065344,0.8333333333333334,,,
erc,2021,243,0.09183155737062632,0.09539010773845957,0.035687602063386066,2.5712434540848776,-0.016940437554957444,5.630911682711799,0.75,,,
erc,2022,242,0.04364759870553092,0.04549164705201192,0.04011622565330023,1.1290600242764548,-0.021493114705712135,2.1165683836378446,0.6666666666666666,,,
erc,2023,242,0.06277764874134983,0.06545490690294575,0.025447720473015526,2.5044376959882286,-0.020702487610349096,3.1616928426623034,0.6666666666666666,,,
erc,2024,242,0.12214627162614411,0.1275028044936548,0.05503790424580983,2.208353340207768,-0.03408635797199222,3.740581630880606,0.6666666666666666,,,
erc,2025,243,0.0600734298248744,0.06236637844685933,0.044106088682988105,1.3939146801624114,-0.027117612922036183,2.299847653484996,0.8333333333333334,,,
erc,2026,59,0.03312959857459563,0.14936457373062662,0.05760031410875378,2.445831014224117,-0.020963561504374617,7.124961743712185,0.75,,,
