资产,周期划分,样本月数,样本用途,月均收益(%),月收益中位数(%),月收益标准差(%),年化收益(%),年化波动率(%),胜率(%),25%分位数(%),75%分位数(%),最小月收益(%),最大月收益(%)
中证1000主连,紧货币宽信用,1,仅描述,-2.2389588838302554,-2.2389588838302554,,-23.793886044241354,,0.0,-2.2389588838302554,-2.2389588838302554,-2.2389588838302554,-2.2389588838302554
中证1000主连,紧货币紧信用,14,主检验,-0.9151234323719813,-1.349147483689811,3.6908179542182102,-11.136628253561454,12.785368436386724,35.714285714285715,-3.207092582773749,2.824737520458359,-6.950727401186352,3.9258648659830753
中证500主连,宽货币宽信用,48,主检验,2.2362298541862953,1.7640284637085557,7.779709211474804,25.928600045364234,26.949703244771936,70.83333333333334,-0.7629555469414379,5.4270029088290315,-22.62180679953847,21.581620035290715
中证500主连,宽货币紧信用,69,主检验,1.2847354843351848,0.25359482172675474,8.0197763625226,12.461744897557935,27.781320250458126,55.072463768115945,-2.9112458695570664,3.9704623740043132,-16.85534685475497,27.790858258834184
中证500主连,紧货币宽信用,1,仅描述,0.5133320585978929,0.5133320585978929,,6.336911724916505,,100.0,0.5133320585978929,0.5133320585978929,0.5133320585978929,0.5133320585978929
中证500主连,紧货币紧信用,14,主检验,0.7531977252433834,1.4805297902272807,3.712481122531126,8.59083751643135,12.860411852728497,57.14285714285714,-2.21423723760277,3.85958074036582,-6.032264245906194,6.40587686138987
原油主连,宽货币宽信用,48,主检验,-0.9375334115312152,0.514006581380666,10.676145977564305,-16.79112474894562,36.98325452432695,54.166666666666664,-7.4417501613296775,5.665210632263956,-27.589857076717806,25.4454653086998
原油主连,宽货币紧信用,69,主检验,1.4558084706311825,1.26838873702535,9.166587623952012,13.322151155919304,31.753990993433913,52.17391304347826,-4.688681398620409,7.5572519083487055,-22.956711502953585,25.10812528886237
原油主连,紧货币宽信用,1,仅描述,-1.004405286334853,-1.004405286334853,,-11.408831903007377,,0.0,-1.004405286334853,-1.004405286334853,-1.004405286334853,-1.004405286334853
原油主连,紧货币紧信用,14,主检验,1.8673302799532874,1.5367170929346197,6.100440679771183,22.396473230587976,21.132546411847414,50.0,-4.066276934595817,7.437374202035279,-5.846550152345731,10.129310344615106
沪深300主连,宽货币宽信用,48,主检验,1.466129780193046,2.5174854009054504,6.912843485415266,15.779412440595841,23.946792283021527,62.5,-1.366090539587289,5.191522827131667,-17.869448141707057,16.310291000326327
沪深300主连,宽货币紧信用,69,主检验,0.16557776392309442,-0.11112787202068874,6.292910931017395,-0.25223272363001925,21.799282920055386,49.275362318840585,-4.3611960740092215,2.3093785953158585,-10.637564600000038,24.891523581275333
沪深300主连,紧货币宽信用,1,仅描述,2.936479989505858,2.936479989505858,,41.5245415370517,,100.0,2.936479989505858,2.936479989505858,2.936479989505858,2.936479989505858
沪深300主连,紧货币紧信用,14,主检验,1.4451850927841268,1.778506955491388,3.105829052250959,18.156271723445872,10.758907436244309,71.42857142857143,0.020109735303730503,3.1509168053773626,-6.58414321948646,5.6307290556436795
沪金主连,宽货币宽信用,48,主检验,1.3529612040772552,0.5110926764381185,4.385798004200262,16.218869698435647,15.192849950018067,54.166666666666664,-1.479400302219891,4.069524394409784,-8.359588322106859,10.690457718879731
沪金主连,宽货币紧信用,69,主检验,0.9542873132847111,0.9316319873354795,3.4029097677010576,11.326675159423427,11.788025222461274,59.42028985507246,-1.129326047490975,3.0059044550526437,-6.870503317660592,11.046201518752774
沪金主连,紧货币宽信用,1,仅描述,-1.3819789939994442,-1.3819789939994442,,-15.379536820810669,,0.0,-1.3819789939994442,-1.3819789939994442,-1.3819789939994442,-1.3819789939994442
沪金主连,紧货币紧信用,14,主检验,-0.07099892309667354,-0.3946179482515966,1.8425609926710522,-1.0330056077017535,6.382818510701616,35.714285714285715,-1.41437199704417,0.5645970624276353,-2.1835611574306912,5.082212257083563
沪铜主连,宽货币宽信用,48,主检验,0.5194504538640224,0.14149762989992265,5.249446680309621,4.74823041850887,18.18461672384008,54.166666666666664,-1.9027741884337368,2.7276192079094264,-12.13552480149087,19.537208214272294
沪铜主连,宽货币紧信用,69,主检验,0.9402054910747915,0.4476958085886107,5.213695775826692,10.1495463211974,18.06077195787813,59.42028985507246,-2.1765200972317045,3.463381599725812,-14.10609478387289,17.993615019756714
沪铜主连,紧货币宽信用,1,仅描述,5.5824175822474675,5.5824175822474675,,91.91071561398391,,100.0,5.5824175822474675,5.5824175822474675,5.5824175822474675,5.5824175822474675
沪铜主连,紧货币紧信用,14,主检验,0.1684918391249251,-1.2301455697189767,3.8084234778253565,1.2291586899473295,13.192765920663362,35.714285714285715,-2.304398626379495,3.807238137115676,-4.909952618756785,6.623401572952536
沪铝主连,宽货币宽信用,48,主检验,0.6648955493217028,0.3450419250751069,4.805310134641934,6.833829706379557,16.646082598650942,52.083333333333336,-1.9623398316156422,3.1489365473628075,-12.01328365633697,14.914425427811828
沪铝主连,宽货币紧信用,69,主检验,0.7708295432816588,-0.07843783652746739,4.93159552657146,8.132033917568183,17.08354802880232,47.82608695652174,-2.3704547884450866,3.5478982630817057,-12.069637647400167,16.359296119101852
