回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,日度胜率,平均资金占用
2025年,红利低波ETF,4.80%,11.71%,0.46,-7.40%,53.50%,100.00%
2025年,10年国债主连,-0.99%,2.44%,-0.40,-2.29%,49.79%,2.50%
2025年,沪铜主连,34.36%,15.87%,1.94,-12.04%,52.67%,16.00%
2025年,沪铝主连,17.29%,10.82%,1.53,-7.98%,51.44%,16.00%
2025年,PTA主连,1.41%,21.13%,0.17,-22.25%,50.21%,17.00%
2025年,原油主连,-12.80%,30.05%,-0.30,-24.99%,48.56%,32.00%
2025年,豆粕主连,3.38%,15.57%,0.29,-10.28%,49.79%,13.00%
2025年,沪金主连,58.28%,18.65%,2.56,-11.25%,60.08%,28.00%
2025年,风险平价策略,21.65%,7.79%,2.56,-2.60%,57.61%,19.29%
2026年,沪深300主连,6.71%,19.05%,0.44,-9.38%,50.63%,14.00%
2026年,中证500主连,18.73%,30.01%,0.72,-17.94%,52.53%,14.00%
2026年,红利低波ETF,0.95%,13.44%,0.14,-11.82%,48.73%,100.00%
2026年,10年国债主连,2.11%,1.23%,1.71,-0.52%,54.43%,2.50%
2026年,沪铜主连,16.23%,22.60%,0.78,-15.82%,54.43%,16.00%
2026年,沪铝主连,3.30%,21.24%,0.26,-13.93%,52.53%,16.00%
2026年,PTA主连,23.95%,37.37%,0.76,-23.24%,52.53%,17.00%
2026年,原油主连,51.34%,65.28%,0.96,-48.56%,50.00%,32.00%
2026年,豆粕主连,26.75%,13.91%,1.77,-10.42%,52.53%,13.00%
2026年,沪金主连,1.06%,35.86%,0.21,-30.74%,48.10%,28.00%
2026年,风险平价策略,7.77%,9.96%,0.80,-6.79%,55.06%,13.64%
