回测区间,组合/资产,年化收益,年化波动,夏普比率,最大回撤,月度胜率,平均资金占用
2021年,全天候增强策略 (动量择时),30.59%,11.20%,2.23,-5.64%,58.33%,14.98%
2022年,沪金主连,15.44%,13.93%,0.95,-16.63%,66.67%,
2022年,红利低波ETF,3.01%,19.45%,0.14,-13.65%,50.00%,
2022年,沪铝主连,-6.66%,25.50%,-0.23,-34.32%,33.33%,
2022年,豆粕主连,104.85%,27.09%,2.71,-16.33%,83.33%,
2022年,10年国债主连,2.91%,2.91%,0.27,-1.88%,58.33%,
2022年,原油主连,69.13%,51.98%,1.23,-42.00%,58.33%,
2022年,沪铜主连,-7.13%,22.30%,-0.32,-38.11%,50.00%,
2022年,沪深300主连,-22.54%,22.06%,-1.14,-29.11%,41.67%,
2022年,PTA主连,21.29%,37.88%,0.64,-41.53%,66.67%,
2022年,中证1000主连,-14.64%,25.75%,-0.57,-33.85%,50.00%,
2022年,30年国债主连,5.69%,3.55%,0.98,-3.28%,66.67%,
2022年,风险平价策略,9.00%,5.39%,1.23,-4.04%,66.67%,9.14%
2022年,全天候策略,13.92%,7.48%,1.50,-6.58%,75.00%,14.35%
2022年,全天候增强策略 (动量择时),7.17%,12.25%,0.45,-14.46%,75.00%,11.98%
2023年,沪金主连,33.57%,11.57%,2.35,-6.51%,66.67%,
2023年,红利低波ETF,12.25%,13.13%,0.76,-12.27%,50.00%,
2023年,沪铝主连,22.43%,13.72%,1.36,-9.80%,58.33%,
2023年,豆粕主连,27.61%,19.97%,1.20,-16.88%,41.67%,
2023年,10年国债主连,5.85%,2.04%,1.58,-1.30%,83.33%,
2023年,原油主连,8.86%,35.50%,0.35,-33.53%,50.00%,
2023年,沪铜主连,13.08%,14.10%,0.77,-10.86%,58.33%,
2023年,沪深300主连,-13.07%,15.26%,-1.01,-23.18%,33.33%,
2023年,PTA主连,10.78%,23.44%,0.45,-19.54%,50.00%,
2023年,中证1000主连,0.14%,14.45%,-0.09,-18.69%,41.67%,
2023年,30年国债主连,10.85%,3.67%,2.16,-3.19%,66.67%,
2023年,风险平价策略,13.67%,3.23%,3.20,-2.20%,75.00%,10.84%
2023年,全天候策略,18.42%,4.33%,3.35,-3.25%,75.00%,15.27%
2023年,全天候增强策略 (动量择时),17.05%,7.61%,1.77,-5.70%,75.00%,16.45%
2024年,沪金主连,57.41%,16.24%,2.75,-11.96%,66.67%,
2024年,红利低波ETF,24.03%,19.73%,1.09,-13.79%,66.67%,
2024年,沪铝主连,-3.58%,14.29%,-0.33,-18.06%,50.00%,
2024年,豆粕主连,-21.42%,19.34%,-1.26,-35.28%,41.67%,
2024年,10年国债主连,7.38%,2.71%,1.87,-1.63%,66.67%,
2024年,原油主连,5.15%,28.94%,0.25,-29.64%,66.67%,
2024年,沪铜主连,7.30%,18.43%,0.36,-28.37%,50.00%,
2024年,沪深300主连,14.61%,24.25%,0.60,-14.48%,50.00%,
2024年,PTA主连,-32.01%,18.91%,-2.06,-32.92%,8.33%,
2024年,中证1000主连,14.01%,36.86%,0.48,-28.76%,58.33%,
2024年,30年国债主连,21.58%,7.60%,2.34,-4.89%,75.00%,
2024年,风险平价策略,13.80%,5.56%,1.99,-3.98%,50.00%,10.93%
2024年,全天候策略,19.57%,6.57%,2.45,-5.04%,75.00%,14.25%
2024年,全天候增强策略 (动量择时),21.76%,8.14%,2.21,-7.80%,75.00%,13.52%
2025年,沪金主连,102.63%,21.22%,3.36,-15.59%,83.33%,
2025年,红利低波ETF,4.80%,11.71%,0.31,-7.40%,50.00%,
2025年,沪铝主连,31.17%,11.52%,2.26,-7.81%,75.00%,
2025年,豆粕主连,7.75%,17.05%,0.42,-12.78%,66.67%,
2025年,10年国债主连,-0.42%,2.45%,-0.86,-2.26%,50.00%,
2025年,原油主连,-4.87%,33.79%,-0.03,-27.88%,33.33%,
2025年,沪铜主连,52.28%,18.07%,2.32,-14.93%,75.00%,
2025年,沪深300主连,31.83%,18.55%,1.49,-13.15%,66.67%,
2025年,PTA主连,4.59%,23.20%,0.24,-26.99%,33.33%,
2025年,中证1000主连,53.76%,22.04%,1.99,-16.01%,75.00%,
2025年,30年国债主连,-6.14%,7.38%,-1.05,-9.64%,33.33%,
2025年,风险平价策略,15.22%,5.34%,2.36,-3.30%,100.00%,12.30%
2025年,全天候策略,26.30%,7.12%,3.08,-3.48%,91.67%,14.86%
2025年,全天候增强策略 (动量择时),26.50%,8.88%,2.50,-4.14%,83.33%,15.14%
2026年,沪金主连,30.94%,55.45%,0.74,-29.00%,33.33%,
2026年,红利低波ETF,8.70%,12.94%,0.58,-4.30%,66.67%,
2026年,沪铝主连,18.33%,35.05%,0.61,-15.63%,66.67%,
2026年,豆粕主连,27.36%,17.84%,1.35,-8.13%,100.00%,
2026年,10年国债主连,3.09%,1.19%,1.19,-0.51%,100.00%,
2026年,原油主连,987.43%,84.22%,3.23,-19.33%,66.67%,
2026年,沪铜主连,-21.73%,37.37%,-0.51,-19.77%,33.33%,
2026年,沪深300主连,-2.58%,18.06%,-0.15,-7.32%,66.67%,
2026年,PTA主连,317.82%,47.77%,3.20,-8.60%,66.67%,
2026年,中证1000主连,17.03%,29.34%,0.63,-14.73%,66.67%,
2026年,30年国债主连,2.42%,4.97%,0.18,-2.30%,33.33%,
2026年,风险平价策略,27.92%,8.00%,2.92,-2.81%,66.67%,12.85%
2026年,全天候策略,55.12%,19.58%,2.26,-7.24%,66.67%,14.98%
2026年,全天候增强策略 (动量择时),32.40%,21.94%,1.32,-8.57%,66.67%,13.13%
