date,货币信用周期策略
2015-05-12,0.9983297435822105
2015-05-13,1.001557030889458
2015-05-14,1.0003914782515058
2015-05-15,1.0010089502872268
2015-05-18,0.9989185453832957
2015-05-19,0.9942949504039703
2015-05-20,0.9865245807511178
2015-05-21,0.988277601431219
2015-05-22,0.9890503055807036
2015-05-25,0.9828728445233259
2015-05-26,0.9783330149104186
2015-05-27,0.9779433154109667
2015-05-28,0.9745758590176246
2015-05-29,0.975090922006809
2015-06-01,0.9695230220978964
2015-06-02,0.9752271485524069
2015-06-03,0.9758354815961534
2015-06-04,0.9727146687174173
2015-06-05,0.9703674197212412
2015-06-08,0.9701447664869168
2015-06-09,0.9708142223902123
2015-06-10,0.970396284607663
2015-06-11,0.9679190981428172
2015-06-12,0.9596750940986017
2015-06-15,0.954797299387959
2015-06-16,0.9603540864885434
2015-06-17,0.9589605674428267
2015-06-18,0.9602956538902812
2015-06-19,0.9617551665701517
2015-06-23,0.964809663798702
2015-06-24,0.9647763762103958
2015-06-25,0.9622034555575264
2015-06-26,0.9634106782287886
2015-06-29,0.9648000128183177
2015-06-30,0.9580326784621607
2015-07-01,0.9541862551846679
2015-07-02,0.9582671783390713
2015-07-03,0.9603235979228004
2015-07-06,0.9551311262510699
2015-07-07,0.9474706834931992
2015-07-08,0.9241279848803973
2015-07-09,0.9464940306233754
2015-07-10,0.9535783786745924
2015-07-13,0.9525815852425271
2015-07-14,0.9538814713387423
2015-07-15,0.9517229184947456
2015-07-16,0.9553409731603986
2015-07-17,0.9552746713648804
2015-07-20,0.945086912816069
2015-07-21,0.9442915636433408
2015-07-22,0.9398750780032532
2015-07-23,0.9449763967504613
2015-07-24,0.9352083303209661
2015-07-27,0.9316132264903058
2015-07-28,0.9309234292823986
2015-07-29,0.9372692063539549
2015-07-30,0.9303145952004352
2015-07-31,0.928483252175178
2015-08-03,0.92542369448674
2015-08-04,0.9307152186408776
2015-08-05,0.9292109756175565
2015-08-06,0.9295811216337555
2015-08-07,0.9310633385937497
2015-08-10,0.9354636461053909
2015-08-11,0.9390094096142132
2015-08-12,0.9457327889228229
2015-08-13,0.9441549108811715
2015-08-14,0.9427839059671674
2015-08-17,0.9413763503567844
2015-08-18,0.9358577392600418
2015-08-19,0.936063322999594
2015-08-20,0.9371566731542712
2015-08-21,0.9380497081467362
2015-08-24,0.9296920492879306
2015-08-25,0.9278677831284288
2015-08-26,0.9256406786019294
2015-08-27,0.9318845292894252
2015-08-28,0.935190191100685
2015-08-31,0.9339584218990352
2015-09-01,0.9329060345323212
2015-09-02,0.9315831056873822
2015-09-07,0.930138306641361
2015-09-08,0.9341763565697315
2015-09-09,0.9380022321129764
2015-09-10,0.9367621897879183
2015-09-11,0.9365923325475777
2015-09-14,0.9342521216164053
2015-09-15,0.9341386629360446
2015-09-16,0.937324507644401
2015-09-17,0.9369005352096296
2015-09-18,0.9373979914806461
