日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连
2020-03-20,2909.3673880970,94.4615133332,372.5743975725,1574.3626386044,,,36617.8857055274,10313.1710757911,3722.6405080294,273.8661777242
2020-03-23,2816.7236252420,94.9346406750,372.3989549226,1629.1327978459,,,35008.6185619537,9754.3081162860,3571.1254619141,271.0349568014
2020-03-24,2888.4944432597,94.9768005371,393.0573269582,1631.9271937255,,,35949.7104587804,9831.6891414482,3507.9941926993,283.1220922795
2020-03-25,2960.1047001631,95.1594932730,399.5706353388,1657.0767566425,,,37041.3770590994,10059.5332710926,3550.0817055091,287.9133892258
2020-03-26,2940.9979275813,95.3468704381,398.4083277827,1616.2785767994,,,36580.2420296543,10007.9459209845,3522.7248221828,281.7064818181
2020-03-27,2954.4850611685,95.1407555565,403.0575580073,1636.3982271330,,,36871.9805176706,10093.9248378314,3463.8023042490,278.3307953333
2020-03-30,2940.5162442389,95.2016531352,399.8995903076,1648.6935690035,,,36439.0782451303,9900.4722749258,3296.0685870654,274.4106432863
2020-03-31,2931.8459440757,95.4920877410,400.1188936200,1643.1047772442,,,36843.7477607658,9947.7606791916,3376.9041134189,288.8934272375
2020-04-01,2928.7952829071,95.6841493352,393.2327696082,1599.5122015214,,,36702.5839762418,9853.1838706600,3310.2148041773,285.5177407527
2020-04-02,2991.8958007616,95.4405590206,395.5135240580,1591.6878930583,,,37314.2937091792,9879.0113513170,3457.7396397725,314.7010948799
2020-04-03,2966.0454613861,95.0939112652,398.5618401014,1567.6560884932,,,37577.7994402906,9939.2754728501,3498.1574029492,308.7119736971
2020-04-07,3031.0727126101,95.8481043546,409.9656123504,1568.7738468450,,,38208.3310111645,10003.8441744927,3552.7213832379,324.1747956601
2020-04-08,3022.4024124469,96.1947521099,405.9304314008,1576.5981553081,,,38405.9603094981,10003.8441744927,3542.6169424437,318.8390331517
2020-04-09,3034.2839348928,95.9183707915,407.3120422694,1577.1570344840,,,38396.5493905299,10033.9762352592,3629.5151332737,328.4216270443
2020-04-10,3021.1179235338,95.7450469138,409.8121000317,1579.3925511878,,,39328.2303683883,10197.5502794205,3613.3480280030,315.7900260041
2020-04-13,3006.5068621477,95.7778379177,409.2857720817,1567.0972093172,,,39384.6958821979,10120.0678374494,3528.4707253318,310.4542634957
2020-04-14,3060.2948353824,95.7637846303,414.0446539625,1569.3327260210,,,39356.4158229240,10132.9815777779,3564.8467121909,305.7718596619
2020-04-15,3042.1514294853,95.9652150828,412.6411127627,1571.0093635488,,,39177.3087808556,10287.9464617201,3554.7422713967,298.9115935797
2020-04-16,3048.0921907082,96.1151168148,415.9964534436,1542.5065255762,,,39177.3087808556,10404.1701246768,3502.1991792669,281.5975887057
2020-04-17,3091.1225692960,95.8527887837,408.1015341943,1548.6541965114,,,39856.0302034305,10683.9678317947,3488.0529621551,276.2618261974
2020-04-20,3099.9157325864,95.6794649060,406.5883413382,1528.5345461778,,,39903.1636355538,10623.7037102616,3447.6351989783,264.3924769441
2020-04-21,3063.2775522097,95.7309936264,410.5577312941,1526.2990294741,,,39064.1885437597,10421.3884451148,3348.6116791952,249.5830136556
2020-04-22,3095.1934782267,95.9792683701,409.1980507567,1543.6242839280,,,38734.2545188969,10498.8708870859,3160.6690804232,229.3288947464
2020-04-23,3084.7719513640,96.5788752983,416.4569903998,1550.8897132152,,,39544.9495514170,10541.9166881810,3368.8205607836,247.7318307446
2020-04-24,3073.5362427152,96.7943590381,419.7246097558,1542.5065255762,,,39384.6958821979,10576.3533290570,3370.8414489424,251.6519827915
2020-04-27,3089.9827147954,96.5976130148,416.8298060310,1554.2429882708,,,40053.9906183483,10683.9678317947,3314.2565804950,237.0723901533
2020-04-28,3107.5690413762,96.7428303177,413.4963956813,1525.7401502982,,,39874.8835762799,10748.5365334373,3354.6743436717,238.6124879672
2020-04-29,3125.1553679571,96.9395763410,415.2946828437,1519.5924793629,,,40072.8439911976,10834.6281356274,3423.3845410722,250.2145581652
