date,策略名称,股指期货信号,股指风险预算倍率,股指目标风险预算,股指实际风险贡献,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2020-07-24,风险平价策略,1.0,2.0,0.2,0.20000124500118757,0.07181111175371904,0.07181111175371904,0.0,0.05654911757771934,0.39639865571044786,0.0,0.05441377457128346,0.06944013656804314,0.05075136280733716,0.028279317888543654,0.14100978292840732,0.13134674019449896
2020-07-31,风险平价策略,1.0,2.0,0.2,0.20000314657578036,0.0782414151844346,0.0782414151844346,0.0,0.06228655571881761,0.3766526997931636,0.0,0.05942190800184061,0.07687530980250298,0.056490131055236405,0.03021301497843719,0.11748046382721544,0.14233850163835138
2020-08-07,风险平价策略,1.0,2.0,0.2,0.19999556593933326,0.081068064156782,0.081068064156782,0.0,0.06403837445445994,0.3751440637848748,0.0,0.058763087073278535,0.07592502904207496,0.05755220890955892,0.03047998186828334,0.11002386397593658,0.14700532673475097
2020-08-14,风险平价策略,1.0,2.0,0.2,0.19999550682404288,0.08702006906404566,0.08702006906404566,0.0,0.06856870269004094,0.41658761207977196,0.0,0.058164652737254983,0.07695781060712409,0.06192132034360572,0.03458828478061815,0.1179764805324915,0.07821506716504693
2020-08-21,风险平价策略,1.0,2.0,0.2,0.1999987777493024,0.08931615413155021,0.08931615413155021,0.0,0.06989268723432888,0.38850136843914407,0.0,0.06406408037433306,0.08755141041597804,0.06628038647998606,0.038156836258953164,0.12561952320333875,0.07061755346238768
2020-08-28,风险平价策略,1.0,2.0,0.2,0.19999963944266524,0.09295692205310135,0.09295692205310135,0.0,0.06919904108738813,0.3676343609166164,0.0,0.06633494905185867,0.08690626577126022,0.06924841529219508,0.040855025541946234,0.1328011819296351,0.07406383835599889
2020-09-04,风险平价策略,1.0,2.0,0.2,0.20000016703483262,0.09928056092257638,0.09928056092257638,0.0,0.07005990027772462,0.37006212135516353,0.0,0.06569963509459213,0.08304260317330817,0.06899107184074388,0.039693821036897635,0.1333937708786535,0.06977651542034018
2020-09-11,风险平价策略,1.0,2.0,0.2,0.19999878254177764,0.09289354758869142,0.09289354758869142,0.0,0.06651158250633973,0.37830964972086306,0.0,0.06807426839943848,0.08534966880060636,0.059594230933088216,0.027747832182002767,0.13882460060130064,0.08269461926766915
2020-09-18,风险平价策略,1.0,2.0,0.2,0.2000025810541067,0.0941818621073601,0.0941818621073601,0.0,0.07022593629436495,0.3826607541892317,0.0,0.06658259586928907,0.0880300040868535,0.060829813055716456,0.029164840114100928,0.12531471415700104,0.08300948012608224
2020-09-25,风险平价策略,1.0,2.0,0.2,0.1999986686534864,0.09687966695743896,0.09687966695743896,0.0,0.06425994020007673,0.4261598862860163,0.0,0.06623849842525488,0.06863406907702184,0.06447017202981116,0.029238695714770998,0.11660025929000398,0.06751881201960523
2020-09-30,风险平价策略,1.0,2.0,0.2,0.20000316013056776,0.10126103972241729,0.10126103972241729,0.0,0.06667564980190416,0.40579775353592207,0.0,0.07007454690033357,0.07189755165950423,0.0625624234751392,0.02814308225461563,0.12141123115860414,0.0721767214915596
2020-10-09,风险平价策略,1.0,2.0,0.2,0.20000071566282512,0.10244531408171781,0.10244531408171781,0.0,0.06749273463810386,0.39871792156856356,0.0,0.07092176147024426,0.07277991913446523,0.06334011268614016,0.028488082487068068,0.12298855853916253,0.0728255953945344
2020-10-16,风险平价策略,1.0,2.0,0.2,0.2000001977616091,0.10452188884417958,0.10452188884417958,0.0,0.06908173548363904,0.3975672294844871,0.0,0.07162196757419251,0.07529187123553835,0.06555829500630567,0.02858326867195339,0.11570415987590683,0.07206958382379741
2020-10-23,风险平价策略,1.0,2.0,0.2,0.200001409719214,0.10455497761357804,0.10455497761357804,0.0,0.0705797440002169,0.4002512100016581,0.0,0.07158443142387758,0.08081107566988617,0.061520193119711436,0.029969994596281822,0.10517284179258557,0.07555553178220428
2020-10-30,风险平价策略,1.0,2.0,0.2,0.1999963795910867,0.10184003841938984,0.10184003841938984,0.0,0.06684388622592188,0.4316597304836349,0.0,0.06884104124399097,0.08528938479738113,0.05344938606487137,0.021311263444694643,0.09973041537707777,0.0710348539430376
2020-11-06,风险平价策略,1.0,2.0,0.2,0.19999450204798108,0.10684886219992876,0.10684886219992876,0.0,0.07025643284285722,0.41592212353748764,0.0,0.07104563803416858,0.08895592413686529,0.049071454373245116,0.02150579794840318,0.10179484209957021,0.07459892482747395
