date,策略名称,股指期货信号,股指期货仓位,沪深300主连,中证500主连,红利低波ETF,10年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连,资金占用比例
2024-11-08,风险平价策略,0.0,0.0,0.0,0.0,0.055312011212812595,0.6425979917532154,0.0,0.10359055403732965,0.0,0.0,0.0786597432346193,0.11983969976202292,0.13173233220648267
2024-11-11,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.6849358819003446,0.0,0.10170240040013806,0.0,0.0,0.08453414614762494,0.1288275715518924,0.08045694014525183
2024-11-12,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.7153621160376442,0.0,0.08423953775169894,0.0,0.0,0.09071322560463058,0.10968512060602645,0.07386693203950233
2024-11-13,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.8022207001100623,0.0,0.0941320711449079,0.0,0.0,0.1036472287450297,0.0,0.04859078862279068
2024-11-14,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.8110295945845954,0.0,0.08987066566315997,0.0,0.0,0.09909973975224456,0.0,0.04753801253851228
2024-11-15,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.8997318186947392,0.0,0.10026818130526086,0.0,0.0,0.0,0.0,0.038536204476210215
2024-11-18,风险平价策略,0.0,0.0,0.0,0.0,0.0708812356593,0.8372659839992946,0.0,0.0,0.0,0.0,0.09185278034140539,0.0,0.10375374670366508
2024-11-19,风险平价策略,0.0,0.0,0.0,0.0,0.06732391914709993,0.7952452237464016,0.0,0.0,0.0,0.050182722066025115,0.08724813504047349,0.0,0.11460577835714955
2024-11-20,风险平价策略,0.0,0.0,0.0,0.0,0.07123768573989225,0.8367216078341474,0.0,0.0,0.0,0.0,0.09204070642596028,0.0,0.10412101777112077
2024-11-21,风险平价策略,0.0,0.0,0.0,0.0,0.07121123654420637,0.8368745423204313,0.0,0.0,0.0,0.0,0.09191422113536224,0.0,0.10408194884981425
2024-11-22,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.8298062795039903,0.0,0.0,0.0,0.05416637811592074,0.0,0.11602734238008884,0.07056605385111928
2024-11-25,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.938560377251934,0.0,0.0,0.0,0.06143962274806601,0.0,0.0,0.043124688710679475
2024-11-26,风险平价策略,0.0,0.0,0.0,0.0,0.0679047764937689,0.8768280036193109,0.0,0.0,0.0,0.05526721988692024,0.0,0.0,0.10751098694806616
2024-11-27,风险平价策略,0.0,0.0,0.0,0.0,0.06795707328069232,0.8767340669898349,0.0,0.0,0.0,0.05530885972947273,0.0,0.0,0.10757426006886947
2024-11-28,风险平价策略,0.0,0.0,0.0,0.0,0.06813859657738619,0.8770068241871501,0.0,0.0,0.0,0.05485457923546376,0.0,0.0,0.10761723253741334
2024-11-29,风险平价策略,0.0,0.0,0.0,0.0,0.06283828931904056,0.8050593936598143,0.0,0.0,0.0,0.05058985596084444,0.08151246106030077,0.0,0.10975014800584525
2024-12-02,风险平价策略,0.0,0.0,0.0,0.0,0.06848180660491093,0.876376415111586,0.0,0.0,0.0,0.055141778283502994,0.0,0.0,0.10803658603342155
2024-12-03,风险平价策略,0.0,0.0,0.0,0.0,0.07563329614856,0.9243667038514399,0.0,0.0,0.0,0.0,0.0,0.0,0.09874246374484599
2024-12-04,风险平价策略,0.0,0.0,0.0,0.0,0.07132612330141898,0.8713191862400701,0.0,0.0,0.0,0.05735469045851089,0.0,0.0,0.11146260390414423
2024-12-05,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.8870298252086485,0.0,0.0,0.0,0.0,0.0,0.11297017479135146,0.05380739457179462
2024-12-06,风险平价策略,0.0,0.0,0.0,0.0,0.07724385195781891,0.9227561480421811,0.0,0.0,0.0,0.0,0.0,0.0,0.10031275565887343
2024-12-09,风险平价策略,0.0,0.0,0.0,0.0,0.069355732466972,0.8260116121133132,0.0,0.0,0.0,0.0,0.0,0.10463265541971475,0.11930316628732497
2024-12-10,风险平价策略,0.0,0.0,0.0,0.0,0.06601226832103754,0.7861352873517209,0.0,0.0,0.0,0.04826930551392317,0.0,0.09958313881331836,0.12899510713701512
2024-12-11,风险平价策略,0.0,0.0,0.0,0.0,0.06162030491818568,0.7236690970049672,0.0766950220598238,0.0,0.0,0.04506457807931052,0.0,0.09295099793771283,0.13243018028082063
2024-12-12,风险平价策略,0.0,0.0,0.0,0.0,0.06162181404509573,0.7236876362553063,0.07667215722257179,0.0,0.0,0.0450649617063416,0.0,0.09295343077068446,0.13242929846891083
2024-12-13,风险平价策略,0.0,0.0,0.0,0.0,0.05494126267004125,0.6952395034517942,0.07043827356831076,0.0,0.05119946706251343,0.04392869278733655,0.0,0.08425280046000384,0.1299442492486419
2024-12-16,风险平价策略,0.0,0.0,0.0,0.0,0.055298412921480154,0.6975065779213501,0.06967067992133662,0.0,0.05152337795656822,0.0442197902566012,0.0,0.08178116102266363,0.12969141837800258
2024-12-17,风险平价策略,0.0,0.0,0.0,0.0,0.059656880693945015,0.7430120786173542,0.0,0.0,0.05740714856082573,0.049347616836879486,0.0,0.09057627529099561,0.12914399238399946
2024-12-18,风险平价策略,0.0,0.0,0.0,0.0,0.06333005814947261,0.7327223338432942,0.0,0.0,0.05926840459169768,0.049481237648948115,0.0,0.09519796576658736,0.13421317173845143
2024-12-19,风险平价策略,0.0,0.0,0.0,0.0,0.07235781561259355,0.8685738729425471,0.0,0.0,0.0,0.05906831144485928,0.0,0.0,0.1129740220985122
2024-12-20,风险平价策略,0.0,0.0,0.0,0.0,0.06560357269538919,0.7948625043376812,0.08623251678130878,0.0,0.0,0.05330140618562081,0.0,0.0,0.11632878796823928
2024-12-23,风险平价策略,0.0,0.0,0.0,0.0,0.06222187057356895,0.7327519868867198,0.0,0.0,0.05981495179468532,0.05057951429882147,0.0,0.09463167644620445,0.13339152603139356
2024-12-24,风险平价策略,0.0,0.0,0.0,0.0,0.05806848255511714,0.676251694403373,0.07615356242386635,0.0,0.05540249565597921,0.04696825599442258,0.0,0.0871555089672418,0.13601115359357946
2024-12-25,风险平价策略,0.0,0.0,0.0,0.0,0.0633672556177251,0.7299624787183776,0.0,0.0,0.060269238479375126,0.051281776706153546,0.0,0.09511925047836854,0.13490564680709063
2024-12-26,风险平价策略,0.0,0.0,0.0,0.0,0.05951134093588958,0.6688476691237408,0.07845610998504521,0.0,0.05422936645777425,0.04863389209817091,0.0,0.09032162139937919,0.13885740202265281
2024-12-27,风险平价策略,0.0,0.0,0.0,0.0,0.06295403517378895,0.707215406249153,0.08301847834792976,0.0,0.0,0.05129139750244193,0.0,0.09552068272668644,0.13707641522994016
2024-12-30,风险平价策略,0.0,0.0,0.0,0.0,0.06643336887458302,0.6928233550775217,0.08781768517637774,0.0,0.0,0.05420802553780059,0.0,0.09871756533371687,0.14279226884527843
2024-12-31,风险平价策略,0.0,0.0,0.0,0.0,0.07532170912070477,0.793674585461895,0.0,0.0,0.06880181457017305,0.062201890847227236,0.0,0.0,0.12676448730529427
2025-01-02,风险平价策略,0.0,0.0,0.0,0.0,0.059572529515974276,0.6666028902908094,0.0,0.0,0.05801746349455038,0.052530827062325036,0.06760072240655403,0.09567556722978683,0.13848768796445443
2025-01-03,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.7102907239546092,0.0,0.0,0.062043048107082534,0.05620848466572218,0.06915343541906839,0.1023043078535177,0.08392645417356422
2025-01-06,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.71143796329261,0.0,0.0,0.06213898605470211,0.05641270895655066,0.06933485056866556,0.10067549112747164,0.0836043116673294
2025-01-07,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.7619747663715927,0.0,0.0,0.06370719905317582,0.06291471586188457,0.0,0.11140331871334691,0.0812052313138699
2025-01-08,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.7619660336393776,0.0,0.0,0.06370626353565935,0.06291108353102261,0.0,0.11141661929394045,0.08120741577427709
2025-01-09,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.7432348386022929,0.0,0.0,0.07070853852175651,0.06358483145451833,0.0,0.12247179142143226,0.08524057017720284
2025-01-10,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.6919860934368055,0.0,0.0,0.06565555539622246,0.05961925827620656,0.06803442281108486,0.11470467007968055,0.08850104198941565
2025-01-13,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.6218463094421132,0.0909489830851564,0.0,0.06116117759860225,0.055621709749774026,0.06354661037495896,0.10687520974939528,0.09648046041994328
2025-01-14,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5797962333552107,0.08464552032981704,0.07213063406238115,0.05718634529011668,0.05073517468970451,0.05925827896967374,0.09624781330309627,0.10018898912758181
2025-01-15,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5804553346111576,0.08410463939044444,0.0714934631458589,0.0572932106719374,0.05082605136418992,0.05935298607090246,0.09647431474550928,0.10013995833981754
2025-01-16,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5804470405430521,0.08413520035448248,0.07151523872144933,0.05731584761083034,0.05085117717510711,0.05923457578729671,0.09650091980778203,0.10015206945412837
2025-01-17,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5586900620186901,0.08887280356217783,0.07557576659891896,0.0587679841551125,0.05317650235549547,0.062988015489935,0.10192886581967006,0.10401458527956958
2025-01-20,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5698800965310042,0.07919663295402836,0.07621538174168983,0.05574390886925671,0.05019200270775469,0.0648320369245587,0.10393994027170758,0.10218217821511592
2025-01-21,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5698845642973752,0.07922706507103054,0.07624566299622682,0.05575388948234385,0.050089278790471405,0.06484559577580397,0.10395394358674821,0.10216651267828888
2025-01-22,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5643897880438268,0.08086107666347951,0.07587162558605379,0.054834036508538526,0.05079651750006838,0.0662142271072276,0.10703272859080552,0.10334066239685957
2025-01-23,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5690312458408514,0.0786539303606127,0.07285716164579914,0.05212435109832366,0.04850156291665364,0.06739987359330828,0.11143187454445112,0.10281210412666776
2025-01-24,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5695329345686158,0.07878500372998784,0.07295505172937204,0.051506498471652826,0.04820387377772856,0.06747821636914096,0.11153842135350198,0.10270100269373598
2025-01-27,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5753851622371521,0.07783185968681446,0.07066827052532339,0.05091580503628711,0.04795296910708097,0.06615589005469144,0.11109004335265057,0.10185076470615763
2025-02-05,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5758802559613887,0.07690445343220949,0.07055888429150046,0.05095189575764728,0.04809177323237518,0.06627228466405412,0.11134045266082476,0.10183305389934638
2025-02-06,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5793958745855949,0.07749864721779931,0.07106396260500317,0.05138203510465984,0.046875456089690994,0.06413371007183918,0.10965031432541257,0.10102947667323618
2025-02-07,风险平价策略,0.0,0.0,0.0,0.0,0.0,0.5755846905263662,0.0781846147896165,0.07168841673061108,0.05185657463453125,0.04730611364753393,0.06475799458068965,0.1106215950906514,0.10171546228234879
2025-02-10,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.12928770002726778,0.11744021839955891,0.08587579369442845,0.07831523608668595,0.10614221860791835,0.18293883318414048,0.18615758913467334
2025-02-11,风险平价策略,1.0,0.3,0.15,0.15,0.08216992356552368,0.0,0.11390101345036638,0.1036997333360306,0.07582692636551377,0.06915181269474853,0.0937165749867259,0.16153401560109115,0.25141787971238394
2025-02-12,风险平价策略,1.0,0.3,0.15,0.15,0.08586528797039451,0.0,0.11686359088674468,0.10388881232393916,0.07922364225266468,0.07246052597541898,0.08708332133043627,0.1546148192604016,0.25445404114506015
2025-02-13,风险平价策略,1.0,0.3,0.15,0.15,0.08944144889551381,0.0,0.12322355158114277,0.10766378074887482,0.07253457071448641,0.05745885835315653,0.0886862687028955,0.16099152100393008,0.25570797457526623
2025-02-14,风险平价策略,1.0,0.3,0.15,0.15,0.08944127964783712,0.0,0.12306441593776267,0.10762897942413699,0.07253422226245342,0.05744029230117271,0.0889490511212879,0.16094175930534918,0.2556910034779986
2025-02-17,风险平价策略,1.0,0.3,0.15,0.15,0.10172558119671156,0.0,0.11365101322337197,0.11841670810624265,0.08458020324844814,0.057657530113207005,0.08941666008212569,0.13455230402989296,0.2629842717369587
2025-02-18,风险平价策略,1.0,0.3,0.15,0.15,0.12776017867897463,0.0,0.14207058778207055,0.1487507182949911,0.0,0.0,0.1123654333414316,0.16905308190253202,0.2782339569183996
2025-02-19,风险平价策略,1.0,0.3,0.15,0.15,0.12774440715401908,0.0,0.14207336664244088,0.14875476703080046,0.0,0.0,0.112369337236016,0.16905812193672354,0.2782211965247024
2025-02-20,风险平价策略,1.0,0.3,0.15,0.15,0.12601398145727088,0.0,0.1423402394928005,0.14904444662675845,0.0,0.0,0.11304007682591925,0.16956125559725083,0.27680789279100004
2025-02-21,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.16597621155289297,0.19172257084597044,0.0,0.0,0.1456241984946229,0.19667701910651367,0.17323251633794295
2025-02-24,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.17532033929974825,0.18363363145261946,0.0,0.0,0.13406466519601345,0.2069813640516188,0.17481582373031385
2025-02-25,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.1741844967557224,0.17931123986911662,0.0,0.0,0.13637286787936637,0.21013139549579454,0.17512458142311435
2025-02-26,风险平价策略,1.0,0.3,0.15,0.15,0.12795866290937802,0.0,0.1484041500447611,0.15239509528955794,0.0,0.0,0.10904179003672902,0.16220030171957395,0.27767805934912454
2025-02-27,风险平价策略,1.0,0.3,0.15,0.15,0.12831968332682808,0.0,0.14855599357994878,0.1528383703074782,0.0,0.0,0.10943016843817129,0.16085578434757358,0.27780832306309927
2025-02-28,风险平价策略,1.0,0.3,0.15,0.15,0.128033726639362,0.0,0.1489492839749602,0.15523922803080278,0.0,0.0,0.11014143021925342,0.1576363311356216,0.2771604472067611
2025-03-03,风险平价策略,1.0,0.3,0.15,0.15,0.1279944108220612,0.0,0.14895056463880807,0.15525600840842949,0.0,0.0,0.11014657115143987,0.15765244497926129,0.27712920135349955
2025-03-04,风险平价策略,1.0,0.3,0.15,0.15,0.0,0.0,0.18396926688134105,0.19099715011795995,0.0,0.0,0.12703183195029663,0.1980017510504023,0.17394925516753937
2025-03-05,风险平价策略,1.0,0.3,0.15,0.15,0.15241757847981216,0.0,0.17580035152532028,0.18229073024517692,0.0,0.0,0.0,0.18949133974969062,0.3047697266930051
2025-03-06,风险平价策略,1.0,0.3,0.15,0.15,0.15018262520670742,0.0,0.17777090497428033,0.18419300653369972,0.0,0.0,0.0,0.18785346328531247,0.3026958207678717
2025-03-07,风险平价策略,1.0,0.3,0.15,0.15,0.149970650603485,0.0,0.17958453347249867,0.183310977852,0.0,0.0,0.0,0.18713383807201617,0.3024314070755693
