10年国债主连,策略名称,30年国债主连,PTA主连,date,中证1000主连,原油主连,沪深300主连,沪金主连,沪铜主连,沪铝主连,红利低波ETF,豆粕主连
0.23298197385277145,全天候策略,0.23298197385277145,0.036509337827454316,2019-05-31,0.012886722897840793,0.036509337827454316,0.012886722897840793,0.256604588782385,0.036509337827454316,0.036509337827454316,0.06911132857911897,0.036509337827454316
0.2202228226468374,全天候策略,0.2202228226468374,0.040895079871303065,2019-06-30,0.014717818386601111,0.040895079871303065,0.014717818386601111,0.24640008413153935,0.040895079871303065,0.040895079871303065,0.0792432344450683,0.040895079871303065
0.21739841214779265,全天候策略,0.21739841214779265,0.0405453806491992,2019-07-31,0.016367555786548506,0.0405453806491992,0.016367555786548506,0.24157623701044334,0.0405453806491992,0.0405453806491992,0.08816492387487827,0.0405453806491992
0.18710049923722522,全天候策略,0.18710049923722522,0.05603129795733355,2019-08-31,0.02222980575240265,0.05603129795733355,0.02222980575240265,0.2209019914421561,0.05603129795733355,0.05603129795733355,0.08028090879192033,0.05603129795733355
0.17618040660141154,全天候策略,0.17618040660141154,0.060686645825269336,2019-09-30,0.027267473528488458,0.060686645825269336,0.027267473528488458,0.20959957889819245,0.060686645825269336,0.060686645825269336,0.08007143171566083,0.060686645825269336
0.17214497124300177,全天候策略,0.17214497124300177,0.06279544259533984,2019-10-31,0.02824348169651672,0.06279544259533984,0.02824348169651672,0.2066969321418249,0.06279544259533984,0.06279544259533984,0.07854894900243886,0.06279544259533984
0.17443991314469084,全天候策略,0.17443991314469084,0.062330821887119,2019-11-30,0.027592084128336133,0.062330821887119,0.027592084128336133,0.2091786509034737,0.062330821887119,0.062330821887119,0.07510324511487733,0.062330821887119
0.17441676500523548,全天候策略,0.17441676500523548,0.06136024121214398,2019-12-31,0.028032181488083282,0.06136024121214398,0.028032181488083282,0.20774482472929617,0.06136024121214398,0.06136024121214398,0.08055607622334646,0.06136024121214398
0.19667175570524242,全天候策略,0.19667175570524242,0.04795613736401792,2020-01-31,0.023847268970926688,0.04795613736401792,0.023847268970926688,0.22078062409833366,0.04795613736401792,0.04795613736401792,0.09840063972923854,0.04795613736401792
0.2444031835494384,全天候策略,0.2444031835494384,0.02846460197431319,2020-02-29,0.011426346095195408,0.02846460197431319,0.011426346095195408,0.2614414394285562,0.02846460197431319,0.02846460197431319,0.08457649141061022,0.02846460197431319
0.2230668058712736,全天候策略,0.2230668058712736,0.038048584829795104,2020-03-31,0.01678579211083132,0.038048584829795104,0.01678579211083132,0.24432959859023737,0.038048584829795104,0.038048584829795104,0.08572228129657725,0.038048584829795104
0.22519205793195896,全天候策略,0.22519205793195896,0.035989062944798575,2020-04-30,0.016441612973999185,0.035989062944798575,0.016441612973999185,0.2447395079027584,0.035989062944798575,0.035989062944798575,0.09204783556133232,0.035989062944798575
0.22217780925435068,全天候策略,0.22217780925435068,0.037416360856337906,2020-05-31,0.016986379146007504,0.037416360856337906,0.016986379146007504,0.24260779096468107,0.037416360856337906,0.037416360856337906,0.09198202795291299,0.037416360856337906
0.21960746933353031,全天候策略,0.21960746933353031,0.038226450733870404,2020-06-30,0.017527917834414878,0.038226450733870404,0.017527917834414878,0.24030600223298582,0.038226450733870404,0.038226450733870404,0.09429096976177188,0.038226450733870404
