date,策略名称,股指期货信号,股指基准仓位,股指目标波动,股指实现波动,股指波动缩放系数,股指期货仓位,沪深300主连,中证1000主连,红利低波ETF,10年国债主连,30年国债主连,沪铜主连,沪铝主连,PTA主连,原油主连,豆粕主连,沪金主连
2019-01-04,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.05324830203301199,0.40367000224958777,0.0,0.0706731539365856,0.08723860467303607,0.03735599621169027,0.022916313575087794,0.06141393144198136,0.26348369587901915
2019-01-11,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.06014972737828456,0.4194115794251773,0.0,0.07714609146943677,0.0937738767680405,0.042924247523140634,0.0260393585664102,0.062006096970503875,0.21854902189900607
2019-01-18,风险平价策略,-1.0,0.0,0.1,,0.0,0.0,0.0,0.0,0.0640604353197034,0.40062718207223214,0.0,0.07709354266458998,0.09327741613428592,0.04732839161153688,0.02580751166242412,0.0547724091390431,0.23703311139618446
2019-01-25,风险平价策略,1.0,0.2,0.1,0.19649438113104303,0.5089204048705572,0.10178408097411146,0.10178408097411146,0.0,0.0616909611855162,0.35051241333089306,0.0,0.07181228585315533,0.08462130518499685,0.04517251726539477,0.02419853669579071,0.05260918122850357,0.2075987182816381
2019-02-01,风险平价策略,1.0,0.2,0.1,0.17769057172743344,0.5627760608108906,0.11255521216217812,0.11255521216217812,0.0,0.062138231854645024,0.3457503113122872,0.0,0.07243613802285033,0.08181305035138248,0.04323568498363658,0.02289513358209739,0.051307219801955004,0.2078690179289679
2019-02-15,风险平价策略,1.0,0.2,0.1,0.18312459847522602,0.5460762826656982,0.10921525653313964,0.10921525653313964,0.0,0.06082720376126278,0.34787848931388127,0.0,0.07676448368096858,0.07963150656735386,0.03925258844314693,0.02580857930578188,0.05290204321073532,0.2077198491837298
2019-02-22,风险平价策略,1.0,0.2,0.1,0.19006406722509772,0.5261383777585242,0.10522767555170486,0.10522767555170486,0.0,0.06334894472215256,0.353297024516418,0.0,0.0837613030447807,0.08721042831788269,0.04190019257012496,0.02750367151074286,0.05441573950305949,0.18333502026313386
2019-03-01,风险平价策略,1.0,0.2,0.1,0.24328898752741554,0.4110338121602454,0.0822067624320491,0.0822067624320491,0.0,0.07111946109378242,0.31790768443033923,0.0,0.0954105739255173,0.1026610007579427,0.04842364063108255,0.028255466890637352,0.0613656658748551,0.1926497439637943
2019-03-08,风险平价策略,1.0,0.2,0.1,0.2497571201508579,0.40038898566574666,0.08007779713314933,0.08007779713314933,0.0,0.0581241277724983,0.3819407402673112,0.0,0.08964527693489666,0.10977338421745755,0.05001581373585537,0.0280985044835099,0.06191008185932593,0.14041427359599576
2019-03-15,风险平价策略,1.0,0.2,0.1,0.24706283731484366,0.4047553289957783,0.08095106579915567,0.08095106579915567,0.0,0.05738480271977682,0.3673224367547474,0.0,0.08999133225515527,0.1159129153553099,0.05032978108222943,0.029838978896192987,0.06498064905655483,0.14328803808087767
2019-03-22,风险平价策略,1.0,0.2,0.1,0.24638636828055568,0.4058666098204419,0.08117332196408839,0.08117332196408839,0.0,0.061365308453920075,0.36468581066483824,0.0,0.08832373709974248,0.11303169708326595,0.048288367746500076,0.031094087058650664,0.06603714448699646,0.14600052544199768
2019-03-29,风险平价策略,1.0,0.2,0.1,0.2612136804514716,0.3828283412536583,0.07656566825073166,0.07656566825073166,0.0,0.06273244394670574,0.3895075090892522,0.0,0.08499758623599299,0.11688830824160952,0.05545766413957808,0.03178007596940949,0.06423550069945097,0.11783524342726945
2019-04-04,风险平价策略,1.0,0.2,0.1,0.2642790304535586,0.3783879478760721,0.07567758957521442,0.07567758957521442,0.0,0.0734061393412423,0.3231588681244578,0.0,0.09532932938650075,0.12467156406176713,0.057499155437414316,0.036979578159966504,0.07518116594378775,0.13809660996964895
2019-04-12,风险平价策略,1.0,0.2,0.1,0.2667626574169402,0.3748650615805783,0.07497301231611567,0.07497301231611567,0.0,0.07202145972817037,0.318322589796112,0.0,0.097087755767425,0.13397460353613766,0.06248719892439315,0.03826582451430649,0.07359065225444797,0.12927690316289167
2019-04-19,风险平价策略,1.0,0.2,0.1,0.27037024938230364,0.36986317920874484,0.07397263584174897,0.07397263584174897,0.0,0.0716633864435286,0.32301162179906945,0.0,0.1068066874286646,0.14747019077082146,0.045145642710711115,0.03884454960085334,0.07744069564608762,0.11564458975851476
2019-04-26,风险平价策略,1.0,0.2,0.1,0.2811816258727671,0.35564201497735615,0.07112840299547123,0.07112840299547123,0.0,0.055032670503717275,0.3134159386797542,0.0,0.10790083225128033,0.15428321476246126,0.04821529813055097,0.04227513105161124,0.07693713452298183,0.13081137710217172
2019-04-30,风险平价策略,1.0,0.2,0.1,0.28103772396460375,0.3558241170946675,0.0711648234189335,0.0711648234189335,0.0,0.05609585426410683,0.3082509148689549,0.0,0.10836521392399147,0.15620867281086961,0.0492540577866414,0.03922348838805687,0.07862940558063887,0.13280756895780657
2019-05-10,风险平价策略,1.0,0.2,0.1,0.31983675170405435,0.3126595035348853,0.06253190070697706,0.06253190070697706,0.0,0.04244996362421844,0.36923610588690575,0.0,0.08266682174481675,0.11046416347826778,0.04682171180155881,0.036109032705444015,0.09231419628387924,0.15740610376793215
2019-05-17,风险平价策略,1.0,0.2,0.1,0.3181532737506816,0.3143139117228266,0.06286278234456531,0.06286278234456531,0.0,0.04008134850432762,0.3725231179597839,0.0,0.08268180170243594,0.1113216435945391,0.0392884902310374,0.03846904706513584,0.09534124797742861,0.1574305206207463
2019-05-24,风险平价策略,1.0,0.2,0.1,0.2777303683432988,0.3600614531155316,0.07201229062310632,0.07201229062310632,0.0,0.04138340937155745,0.37606232806729506,0.0,0.07594723715179681,0.1082625577551823,0.0358467148766683,0.03216930659206444,0.10024452605745406,0.1580716295048753
2019-05-31,风险平价策略,1.0,0.2,0.1,0.27014625904087336,0.37016984930696345,0.0740339698613927,0.0740339698613927,0.0,0.04658258429983913,0.37488228051838624,0.0,0.07291269058262603,0.11286110762241172,0.03719830709858629,0.029096551511634695,0.09113950432167368,0.1612930041834494
2019-06-06,风险平价策略,1.0,0.2,0.1,0.25962303889853205,0.38517382904173925,0.07703476580834785,0.07703476580834785,0.0,0.0485013039828316,0.39812432122147606,0.0,0.07117273436476232,0.09744622769336801,0.03696028622195647,0.025652947004697644,0.06697250632809118,0.1781349073744689
2019-06-14,风险平价策略,1.0,0.2,0.1,0.2667475193855451,0.3748863353269442,0.07497726706538885,0.07497726706538885,0.0,0.05062884066403957,0.38873341336451495,0.0,0.07263294034275715,0.10073191044429887,0.03602088056096185,0.026109314343861312,0.07112675357305143,0.17903867964112583
2019-06-21,风险平价策略,1.0,0.2,0.1,0.26661932127389815,0.3750665912815447,0.07501331825630894,0.07501331825630894,0.0,0.05794537500486148,0.4008934010650867,0.0,0.08012963516351486,0.0985654658648425,0.03956629581852547,0.026716792569873204,0.06678577449831961,0.15438394175866713
2019-06-28,风险平价策略,1.0,0.2,0.1,0.24766353365108287,0.403773613845321,0.0807547227690642,0.0807547227690642,0.0,0.059593144505186366,0.4034296207385554,0.0,0.0854755170564457,0.10484311830387129,0.042569205183226745,0.027804869626490366,0.06896334356451186,0.12656645825264817
2019-07-05,风险平价策略,1.0,0.2,0.1,0.2431838174962241,0.4112115725033912,0.08224231450067825,0.08224231450067825,0.0,0.0694815951981316,0.44572597892707544,0.0,0.07934537206075301,0.10501624082155257,0.03475387044516591,0.027624118544993453,0.06362539345479962,0.09218511604685022
2019-07-12,风险平价策略,1.0,0.2,0.1,0.24487889940896473,0.4083651153339801,0.08167302306679602,0.08167302306679602,0.0,0.06333971235530161,0.45750531483247114,0.0,0.08256391268634067,0.10719455342044241,0.032638780252132904,0.028980609526299213,0.06196533293851631,0.08413876092169974
2019-07-19,风险平价策略,1.0,0.2,0.1,0.2306799124158635,0.43350111829296484,0.08670022365859298,0.08670022365859298,0.0,0.06520860555947382,0.4416650697212791,0.0,0.08672915841291545,0.11241400597951212,0.03189846698807975,0.02737450588841439,0.061751829608481565,0.08625813418325082
2019-07-26,风险平价策略,1.0,0.2,0.1,0.2274211939493222,0.43971275615712263,0.08794255123142453,0.08794255123142453,0.0,0.07140907067666698,0.45608627007351876,0.0,0.0784077822699128,0.10763726545686102,0.02594586923065395,0.03196044645664621,0.05695444655256461,0.08365629805175125
2019-08-02,风险平价策略,1.0,0.2,0.1,0.18302275340333424,0.5463801529617806,0.10927603059235612,0.10927603059235612,0.0,0.06175033208232829,0.4617977586212742,0.0,0.07528548307316972,0.10605340402886335,0.024660244920471527,0.028703683839989672,0.057224132461996306,0.07524893037955074
2019-08-09,风险平价策略,1.0,0.2,0.1,0.171855946522523,0.5818826873523067,0.11637653747046135,0.11637653747046135,0.0,0.054161862249568704,0.46800821462763836,0.0,0.07131701711868432,0.10464496605937305,0.02413951187229984,0.027135896250147593,0.057563263784967324,0.07665273056685955
2019-08-16,风险平价策略,1.0,0.2,0.1,0.16194516554968033,0.617492962266433,0.12349859245328661,0.12349859245328661,0.0,0.058640632687049485,0.4648402359682228,0.0,0.07532611735914817,0.11076446726756048,0.02550956663453986,0.027452537767635433,0.05139287363787771,0.06257497622467938
2019-08-23,风险平价策略,1.0,0.2,0.1,0.16963671630053506,0.5894950231342375,0.1178990046268475,0.1178990046268475,0.0,0.06298996475313484,0.4490291782799977,0.0,0.07829495025327193,0.11438789928070935,0.026107829792497324,0.02961773543830403,0.05574194529539977,0.06593149227983738
2019-08-30,风险平价策略,1.0,0.2,0.1,0.16982416590817895,0.5888443465346876,0.11776886930693753,0.11776886930693753,0.0,0.0656286595615133,0.42366486904457773,0.0,0.08658928912941664,0.12281889517009682,0.029698344950824695,0.03397321989760775,0.05450719727290986,0.06535065566611566
2019-09-06,风险平价策略,1.0,0.2,0.1,0.1583892821533295,0.6313558508535604,0.12627117017071207,0.12627117017071207,0.0,0.06826575123127973,0.42599916523840814,0.0,0.08681136775850348,0.12492666815307045,0.0311438914780726,0.03346966516182603,0.05013440678460515,0.05297791402352217
2019-09-12,风险平价策略,1.0,0.2,0.1,0.148043100573168,0.6754789626320786,0.13509579252641574,0.13509579252641574,0.0,0.07714396482013793,0.3760171799699277,0.0,0.09851874065157123,0.1345980035751064,0.03322581689214134,0.03497443414916516,0.05494047906271155,0.055485588352822864
2019-09-20,风险平价策略,1.0,0.2,0.1,0.15019794714686754,0.6657880610193516,0.13315761220387032,0.13315761220387032,0.0,0.08136466723652407,0.3717550454623868,0.0,0.10379758372494197,0.12241465145545717,0.03166359589419253,0.03092538140585112,0.06298149568118963,0.061939966935586545
2019-09-27,风险平价策略,1.0,0.2,0.1,0.14243491953316184,0.7020750271615656,0.1404150054323131,0.1404150054323131,0.0,0.08467325560265014,0.34597745936444513,0.0,0.11093513524135254,0.11695785589643681,0.03638357309252005,0.03327160768199093,0.06802928840802093,0.06335681928027027
2019-09-30,风险平价策略,1.0,0.2,0.1,0.14587690779896023,0.6855094580001289,0.13710189160002578,0.13710189160002578,0.0,0.08419117867594024,0.3479168690411379,0.0,0.11160117085808391,0.11764465983937974,0.036577127124368676,0.03332673912721266,0.06840581145754215,0.06323455227630903
2019-10-11,风险平价策略,1.0,0.2,0.1,0.14104696365225572,0.7089837130173539,0.14179674260347078,0.14179674260347078,0.0,0.09180067785816753,0.3367946238110187,0.0,0.10803579315032842,0.10970101667021238,0.03815556510657073,0.03476520638886756,0.07430451110313678,0.06464586330822723
2019-10-18,风险平价策略,1.0,0.2,0.1,0.14254993103117025,0.7015085821271552,0.14030171642543104,0.14030171642543104,0.0,0.08497161381652614,0.33210206158984074,0.0,0.11199678273816231,0.1171759211564045,0.03802160038198565,0.03372353011492045,0.07788922790113102,0.0638175458755982
